count,country,region,city,geo_id,label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,gnd,tgn,viaf,wikidata,number_of_results
6287,Frankreich,Île-de-France,Paris,00002421,Paris,Paris,Parigi,,Paris,inhabited places,"Paris is the city and capital of France, located in the north-central part of the country. It was founded more than 2,000 years ago on an island in the Seine River. The City of Paris itself covers an area of 41 square miles (105 square kilometers). It occupies a central position in the productive agricultural region known as the Paris Basin. It is the nation's most important center of commerce and culture. It was captured and fortified by the Romans in 52 BCE and ruled by various other groups such as the Clovis, Northmen, English, and Germans.",capital city and largest city of France,http://vocab.getty.edu/tgn/7008038,http://www.wikidata.org/entity/Q90,,,,,1
5883,Deutschland,Nordrhein-Westfalen,Düsseldorf,00000861,Düsseldorf,Dusseldorf,,Düsseldorf,,inhabited places,"The northwestern German city of Düsseldorf is situated on both banks of the Rhine river some 21 miles northwest of Cologne. Known from at least 1159, it received its charter in 1288. It served as the capital of the duchies of Berg and Jülich from 1511 until it came under the Palatine-Neuberg line of rulers in 1609. It went to Prussia in 1815, and developed considerably in the 1870s as iron and steel industries and various commercial activities established themselves. World War II caused heavy damage to the city, but much of its historic architecture has been restored and much new development undertaken, notably the famous shopping street called the Königsallee. Restored historic structures include the 13th-14th-century St. Lambertuskirche, whose crooked tower has become the town symbol, the old town hall of 1567-1588, the tower of the castle of the electors palatine, built 1752-1763, Benrath Castle built 1755-1773 by Nicolas de Pigage, and the ruins of the palace of Frederick I Barbarossa. The first German skyscraper, the Wilhelm-Marx-Haus was built herein 1924. The city is a cultural center, housing a museum of ceramics, the state museum, and the city library, which features a collection of works by and about the poet Heinrich Heine, born in Düsseldorf. The city is a hub for transportation and communications, with an airport and three harbors. Economic activities include commerce and banking, and the manufacture of glass, chemicals, iron, steel, and textiles. The estimated population for 2004 was 572,900. ",capital city of the German federated state of North Rhine-Westphalia,http://vocab.getty.edu/tgn/7004443,http://www.wikidata.org/entity/Q1718,,http://vocab.getty.edu/tgn/7004443,,,1
5541,Italien,Lombardia & Lombardei,Mailand,08120234,Milano,Milan,,,,inhabited places,One of nation's richest cities; became the second city of the western Roman Empire after Rome; sacked by Attila the Hun in 452 and by Goths in 539; battled for autonomy with nearby cities 11th-12th centuries; controlled by Sforza family 15th century and by Spain 1540-1706; won independence from Austria in 1848; heavily bombed during World War II.,Italian commune and capital city of Lombardy,http://vocab.getty.edu/tgn/7005903,http://www.wikidata.org/entity/Q490,,,,,1
4762,Italien,Campania & Kampanien,Neapel,08120254,Napoli,Naples,,,,inhabited places,"Founded as Parthenope by Greek refugees from Cumae in the 8th century BCE; the site eventually gave rise to Neapolis in the 6th century BCE and was one of the most prominent cities of Magna Graecia; conquered by Romans 4th cen. BCE; part of kingdoms of Ostrogoths, Byzantines & Muslims; went to Kingdom of Two Sicilies, then to popes, and back to Sicily; damaged in WW II, and by earthquake in 1980; historic core named UNESCO World Heritage Site in 1995.","city and commune in Campania, Italy",http://vocab.getty.edu/tgn/7004474,http://www.wikidata.org/entity/Q2634,,,,,1
4272,Österreich,Wien,Wien,00003601,Wien,Vienna,,Wien,Vienne,inhabited places,"Located on the Danube River, at a crossroads in the center of Europe. Formerly, Vienna was the capital of the Holy Roman Empire and of the Austro-Hungarian Empire. Originally a Celtic settlement, it became a Roman military settlement and was occupied by the Magyars in 907, then passed to the Babenburgs in 976. It became the capital of the duchy of Austria in 1156 and was occupied by Ottocar II of Bohemia from 1251 to 1276. It was unsuccessfully besieged by the Turks in 1529 and 1683. During the 18th century, Vienna was one of the great cultural centers in Europe, the home of Mozart, Beethoven, Haydn, and Schubert. The city was occupied by the French during the Napoleonic Wars, in 1805 and 1808 and from 1814 to 1815. It was annexed by Nazi Germany in 1938 and liberated by the Russians in 1945. The historic centre of Vienna was designated a World Heritage Site by UNESCO.",capital of and state in Austria,http://vocab.getty.edu/tgn/7003321,http://www.wikidata.org/entity/Q1741,,,,,1
4032,Deutschland,Hessen,Wiesbaden,00071336,Wiesbaden,Wiesbaden,,,,inhabited places,Located on the Rhein River W of Frankfurt; famed for thermal springs since Roman times; was site of Franconian palace by 9th century. was important medieval center; ruled by Nassau from 13th century. went to Prussia in 1866; was bombed in WW II.,capital of the German state of Hesse,http://vocab.getty.edu/tgn/7004432,http://www.wikidata.org/entity/Q1721,,http://vocab.getty.edu/tgn/7004432,,,1
3715,Deutschland,Hessen,Kassel,00001391,Kassel,Kassel,,Chassala,,inhabited places,"The city of Kassel is located on the Fulda River some 90 miles northeast of Frankfurt am Main. Mentioned in 913 as Chassala, the town was probably the seat of Franconian kings. Ruled by Hesse from the 13th century, it became the residence of the Hessian landgraves around 1277. The town expanded in size and population when the New Town was built in the 14th century, then the Upper New Town in the 17th century to accommodate Huguenot refugees. It served as the capital of the Electorate of Hessen from 1567 to 1866. It became in the early 20th century a producer of aircraft and tanks, and as such was heavily bombed in World War II.  It historic architecture includes the Orangery Palace, 1701-11, and the Ottoneum, 1604-07, rebuilt in 1697, and claimed to be the oldest theatre building in Germany, being now a museum. Kassel has a large number of museums, including the intriguing German Wallpaper Museum. The city has several technical schools and an academy of applied art. A famous statue of Hercules, situated at the very top of the series of cascades, has been the city's symbol over the last 250 years. Today it is important as a railway junction and transportation center, and local industries include the manufacture of optical and precision instruments, textiles, and transportation equipment. Its 2004 estimated population was 193,900.","city in Hesse, Germany",http://vocab.getty.edu/tgn/7004431,http://www.wikidata.org/entity/Q2865,https://d-nb.info/gnd/4029869-3,http://vocab.getty.edu/tgn/7004431,,,1
3454,Deutschland,Nordrhein-Westfalen,Köln,00001471,Köln,Cologne,,Köln,,inhabited places,"The western German city of Cologne is situated on the west bank of the Rhine. The fourth-largest city in Germany, it serves the entire Rhine region as its historical, economic, and cultural center. The first settlement on the site was a Roman fortification. Franks captured it in 456. It became the seat of a powerful archbishop, and became independent in 1288. A member of the Hanseatic League, it declined in the Thirty Years' War of the 17th century. Prussia took it over in 1815. The heavy shipping traffic of the Rhine and the intersection of major east-west trade routes at the city caused it to recover and prosper. The inner city was almost entirely destroyed in World War II. The city has been rebuilt and continues as a commercial center. Some historic architecture survives, notables the great Gothic cathedral in the middle of the inner city, which was designated as a World Heritage site in 1996. Cologne has a wealth of museums and galleries, notably the Wallraf-Richartz and Ludwig museum complex, whose collection encompasses medieval art to modern works, the Rautenstrauch-Joest Museum, and the Schnütgen Museum of medieval ecclesiastical art. Educational institutions include the University of Cologne, founded in 1388. The modern city has a highly diversified economy, and serves as a banking center as well as a manufacturing city, notably producing motor vehicles, pharmaceuticals, electronics, and the city's famous eau de cologne, made since the beginning of the 18th century. The population estimate for 2004 was 969,500.","most populous city in North Rhine-Westphalia, Germany",http://vocab.getty.edu/tgn/7004446,http://www.wikidata.org/entity/Q365,,http://vocab.getty.edu/tgn/7004446,,,1
3233,Vereinigte Staaten,New York,New York,00260353,New York,New York,,,,inhabited places,Located at mouth of Hudson River; visited by Europeans 16th-17th century. Established at the southern tip of Manhattan Island as a trading post by colonists of the Dutch Republic; which served as the seat of the colonial government in New Netherland territory. It was seized by the British in 1664. Was a cosmopolitan center and the nation's largest city by the 18th century. Today it is a huge metropolis composed of five boroughs corresponding to five counties.,most populous city in the United States,http://vocab.getty.edu/tgn/7007567,http://www.wikidata.org/entity/Q60,,,,,1
2984,Deutschland,Rheinland-Pfalz,Worms,00260521,Worms,Worms,,,,inhabited places,"The German city of Worms is situated on the Rhine river ten miles north northwest of Mannheim. Celts and Romans first settled the site. It became the seat of the Burgundian kingdom and was destroyed by Huns in 436, an event that inspired the Nibelungenlied an epic poem written around 1200. It was a major city of the Holy Roman emperors and was the site of many important diets, notable the Diet of Worms of 1521 at which Martin Luther presented his defense. It was razed by the French three times in the 17th and 18th centuries, and became French territory in 180. It passed to Hesse-Darmstadt in 1816, and was occupied by French troops between 1918 and 1930. The city was extensively bombed in World War II, and has had to be rebuilt. Its surviving historic architecture includes a cathedral built between the 11th and 14th centuries, a 13th-century synagogue destroyed in 1938 but later rebuilt, and several fine churches. The modern city is a busy river port with diversified commerce and industry, especially known as a wine-trading center. The calculated population for 2005 was 82,104.","town in Rhineland-Palatinate, Germany",http://vocab.getty.edu/tgn/7005108,http://www.wikidata.org/entity/Q3852,,http://vocab.getty.edu/tgn/7005108,,,1
2878,,,Windsor,,Windsor,,,,,inhabited places,,,http://vocab.getty.edu/tgn/2776803,,,,,,1
2826,Italien,Toscana & Toskana,Siena,08120288,Siena,Siena,Siena,Siena,Siena,inhabited places,"Siena was founded as an Etruscan hill town, possibly by the Saina tribe; later it was the Roman city of Sena Julia (3rd century BCE). It flourished under the Lombard kings (6th century CE) and was a Medieval self-governing commune (constitution dates to 1179). Siena was a Medieval seat of pro-imperial Ghibelline power and was an economic and territorial rival of Guelf (anti-imperial) Florence. The population was ravaged by the Black Death (bubonic plague) in 1348. Siena was ruled by Charles of Anjou in the 13th century, the Visconti of Milan in the early 15th century, and the Medici of Florence after 1557. Historic core named an UNESCO World Heritage Site in 1995.","city in Tuscany, Italy and capital of the province of Siena",http://vocab.getty.edu/tgn/7011179,http://www.wikidata.org/entity/Q2751,,,,,1
2690,Deutschland,Bayern,München,00001971,München,Munich,Monaco di Baviera,München,,inhabited places,"Capital of Bavaria and the third-largest city in Germany; situated on both sides of the Isar River, north of the Alps. Henry the Lion, duke of Bavaria, established Munich in 1157 as a mint and market for Benedictine monks from Tegernsee. It suffered declined during the 17th century under the Swedish occupation and the plague epidemic of the Thirty Years' War. It revived under the Bavarian king Ludwig I, whose building and urban planning activities defined the character that the city has today. The city witnessed the rise to power of the Nazi party in the 1920s and 1930s, and was heavily damaged in World War II, when Allied bombing destroyed about 40% of its buildings. Still, a great deal of historic architecture survives, much of its rebuilt or restored, including the church the Frauenkirche, built 1468-1488. The city boasts seven old city gates, and many fine building built in the 19th century under Ludwig I. Munich is an active cultural center for the whole of Europe, with many libraries, theaters, museums, art galleries, and concert venues. It has several of the largest breweries in Germany and is renowned for its annual Oktoberfest celebrations. Light industry and tourism are major economic activities. The 2004 estimated population was 1,241,100.","capital and most populous city of Bavaria, Germany",http://vocab.getty.edu/tgn/7004333,http://www.wikidata.org/entity/Q1726,https://d-nb.info/gnd/4127793-4,http://vocab.getty.edu/tgn/7004333,,,1
2686,Italien,Lazio & Latium,Rom,08120311,Roma,Rome,Roma,Rom,,inhabited places,"City positioned on 7 hills over the swampy Tiber river area; one of the oldest continuously occupied sites in Europe. Archaeological evidence attests to human occupation of the area from ca. 14,000 years ago, but the dense layer of later debris obscures Palaeolithic and Neolithic sites. Was an Etruscan city by 8th cen. BCE, their kings expelled and republic established by 500 BCE; soon ruled vast area and was center of Empire from 31 BCE; declined when capital moved to Constantinople in 330 CE; revived under popes.",capital and largest city of Italy,http://vocab.getty.edu/tgn/7000874,http://www.wikidata.org/entity/Q220,https://d-nb.info/gnd/4050471-2,http://vocab.getty.edu/tgn/7000874,,,1
2574,Spanien,,Madrid,20952980,Madrid,,,,,inhabited places,"Was Moorish fortress; taken by Ramiro II of León in 932 CE; captured again from Moors by Alfonso VI of Castile in 1083; rapid expansion under Bourbon kings, particularly Charles III in 18th cen.; under French occupation during Peninsular War 1808-1812.",capital of Spain,http://vocab.getty.edu/tgn/7010413,http://www.wikidata.org/entity/Q2807,https://d-nb.info/gnd/4036862-2,,,,1
2534,Dänemark,,Kopenhagen,00070665,København,Copenhagen,,Kopenhagen,Copenhague,inhabited places,"The city of Copenhagen is the capital and the largest city in Denmark. It is situated on the islands of Zealand and Amager on the Øresund sound. Its development began around the 10th century when a small fishing village was founded on the site of the modern city. In 1167 ramparts and a moat were built there, with a castle on a small islet off the coast. It became the capital of the kingdom of Denmark and the royal residence in 1445. During the strife of the Protestant Reformation the town was often sacked, was twice destroyed by the Hanseatic League. In the late 16th century, the city's trade began to prosper and the city extended its boundaries. It was besieged by Sweden, 1658-1660, and bombarded by the British in 1801 and 1807. Its ramparts were torn down in 1856 and the city continued to grow, reaching out to incorporate many nearby towns. It was occupied by Germany from 1940 to 1945. Despite the sackings and two major fires in the 18th century, much remains of the city's historic architecture, a lot of it now converted to administrative and academic use. In the King's New Square, laid out in the 17th century, are the Thott Palace, now the French Embassy, and the Charlottenberg Palace, now the Royal Academy of Fine Art. Christiansborg Palace on the islet of Slotsholmen, built on the ruins of the castle built there in 1167, now houses the Danish Parliament, Supreme Court, and Foreign Office. Other notable structures include the Petri Church, which after 1585 became the parish church for the German residents, the 17th-century citadel, and the University of Copenhagen, founded in 1479. The city has been a center of commerce and shipping since medieval times, and is now also an industrial center with shipbuilding, brewing, canning, and machinery manufacture being major activities. For institutions of higher learning, besides the University of Copenhagen, are the Royal Academy of Music (1867), the Technical University of Denmark (1829), the Engineering Academy of Denmark (1957), and the Copenhagen School of Economics and Business Administration (1917). The 2004 population estimate was 619,900.",capital and largest city of Denmark,http://vocab.getty.edu/tgn/7003474,http://www.wikidata.org/entity/Q1748,,http://vocab.getty.edu/tgn/7003474,,,1
2486,Deutschland,Bremen,Bremen,00070371,Bremen,,,Bremen,,inhabited places,"The city of Bremen is located on both banks of the Weser River in northern Germany, about forty miles from the North Sea. The initial settlement developed at the junction of important European trade routes. The emperor Charlemagne established a diocese there in 787, which by 845 was an archbishopric including all of Scandinavia, Iceland, and Greenland. In 1358 it became a Hanseatic city, and a highly dynamic commercial center. It continued long as a free imperial city, resisting aggression from Sweden and Hanover. It joined the Germany Confederation in 1815 and the German Empire in 1871. Its excellent facilities and prime location made it a highly strategic shipping and receiving point in both World Wars, and it was heavily bombarded in World War II. Its old town took a heavy beating, losing around 69% of its buildings. Much of its historic architecture has been restored, however, including the medieval market place with its 11th century cathedral, a row of medieval gabled houses, the Romanesque town hall, and the 1404 statue of Roland. The modern city continues its traditionally busy commercial and industrial activity, featuring aircraft production, electronic consumer goods, and foodstuffs among many others. The 2004 estimated population was 545,000. ","city in the Bremen federated state, Germany",http://vocab.getty.edu/tgn/7005286,http://www.wikidata.org/entity/Q24879,https://d-nb.info/gnd/4008135-7,http://vocab.getty.edu/tgn/7005286,,,1
2418,Italien,Toscana & Toskana,Florenz,08120216,Firenze,Florence,Firenze,Florenz,Florence,inhabited places,"Etruscan settlment was nearby at Fiesole. The original settlement at the site of modern Florence was established by Julius Caesar in 59 BCE as a settlement for his veteran soldiers; originally called ""Fluentia,"" at the head of navigation on the Arno river and on the Casian Way. It escaped capture by the Goths in the 5th century, and by the 12th century was a thriving center. It was torn apart in Medieval times by the violent Guelph/Ghibelline rivalry: a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and its allies (Montepulciano, Bologna, and Orvieto) and its Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo).  Florence came under the ostensible (later actual) rule of the  Medici family from 1434; historic core named UNESCO World Heritage Site in 1982.","Italian city and commune, located in Tuscany",http://vocab.getty.edu/tgn/7000457,http://www.wikidata.org/entity/Q2044,,,,,1
2415,Italien,Sicilia & Sizilien,Palermo,08120261,Palermo,Palermo,,,,inhabited places,"Founded by Phoenicians; passed to Carthaginians; was Roman free town 354 BCE; under Ostrogoths, Byzantines (from 535 CE), Saracens (from 832 CE); flourished under Normans from 1072; went to Hohenstaufens (1194), Angevins, Aragonese (from 1280s), and Spain. Palermo was seized by Garibaldi in 1860 and made a part of the kingdom of Italy in 1861; it was captured by Allied forces in 1943.","Italian city, capital of Sicily",http://vocab.getty.edu/tgn/7003928,http://www.wikidata.org/entity/Q2656,,,,,1
2318,Deutschland,Baden-Württemberg,Stuttgart,00260134,Stuttgart,,,Stuttgart,,inhabited places,"Stuttgart is the capital city of the state of Baden-Württemberg in southwestern Germany. It is located on both sides of the Neckar River in a fertile area of vineyards and orchards. The town developed around a medieval fortified manor and horse farm. It became the property of the House of Württemberg in the 13th century. Like many German towns, it declined during the Thirty Years' War in the 17th century, only rising in wealth and importance again with the onset of the Industrial Revolution in the 19th century. The city center was nearly destroyed in World War II. Most of its surviving historic architecture has undergone restoration and rebuilding since 1945. This includes a 13th-century castle now housing the state museum, the Gothic St. Leonard's Church dating from 1463-1474, and the Stiftskirche, a church begun in the 12th century in the Romanesque style and completed in 1436-1495 in the Gothic style. Of its modern structures, the 633-foot television tower has become the city symbol. The city is home to many educational and cultural institutions, with galleries, museums, opera, and ballet. Industrially it is a center for electrical engineering and the manufacture of motor vehicles and machinery. It is also a center for the book trade, and also deals extensively in fruits and wine. The 2004 estimated population was 590,500.","city on the Neckar river and capital of the federal state Baden-Württemberg, Germany",http://vocab.getty.edu/tgn/7004425,http://www.wikidata.org/entity/Q1022,,http://vocab.getty.edu/tgn/7004425,,,1
2299,Deutschland,Sachsen,Leipzig,00260086,Leipzig,,,,,inhabited places,"The eastern German city of Leipzig is situated at the junction of the Pleisse, Parthe, and Weisse Elster rivers, some 113 miles southwest of Berlin. By the 11th century it had developed as a fortified settlement at the intersection of major European trade routes. It was first mentioned in 1015 under the name Urbs Libzi, and was granted town status by 1170. It quickly became a commercial center, and the agriculture of the fertile Leipzig basin made it a notable market town. Famed for printing since 1470, by 1700 it was the most important German center of commerce, and did a busy trade in books, textiles, and furs. In 1839 the first German railway was built between Dresden and Leipzig, promoting the growth of industries such as metallugy. Leipzig also became a cultural center, famed as the home of J.S. Bach who, in his later years, was the city's director of church music. It was heavily damaged in World War II, and was extensively rebuilt. New post-war industries include the manufactures of machine tools, garments, and electronics. The great Leipzig Fair held every spring is the major market for trade between eastern and western Europe. The city remains a cultural leader with the University of Leipzig founded in 1409, academies of music, bookmaking, and drama, an orchestra, and an opera house. Surviving and restored historic architecture includes the Old Town Hall, the Old Commercial Exchange, and the 13th-century St. Thomas' church. The calculated population for 2005 was 492,637.","largest city in Saxony, Germany",http://vocab.getty.edu/tgn/7012329,http://www.wikidata.org/entity/Q2079,,http://vocab.getty.edu/tgn/7012329,,,1
