count,country,region,geo_id,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes,gnd,tgn,viaf,wikidata
1906,Belgien,Brabant (flämisch),,Brabant,,,,,general regions,"This region constitutes the southern part of the former duchy of Brabant, and contained within the modern nation of Belgium. It is watered by the Senne, Dijle, and Demer rivers. It was occupied by Germany during World Wars I and II. In 1993, the region was split into the provinces of Flemish Brabant and Walloon Brabant. ",province of Belgium until its splitting in 1995,http://vocab.getty.edu/tgn/7003462,http://www.wikidata.org/entity/Q848831,,,,,
1856,Deutschland,Brandenburg,00000441,Brandenburg,Brandenburg,Brandeburgo,Brandenburg,Brandebourg,states,"The German state of Brandenburg is the remaining core of the historic European  region of Brandenburg. It was created in 1990 when East and West Germany were united, and occupies the east-central and eastern areas of the former East Germany. Its capital is Potsdam. The state and city of Berlin lie in the center of Brandenburg but is a separate administrative entity. Geographically, most of the state consists of a sandy plain with occasional fertile areas and fir and pine woodlands. It measures some 11,219 square miles, and is watered by the Elbe and Oder Rivers, their tributaries, and about 600 lakes. Agriculture is a major economic activity, with cereals, potatoes, wheat, dairying, beef, and fruits and vegetables being important crops. Potsdam, Cottbus, the city of Brandenburg, and Frankfurt an der Oder are its principal cities. Its primary industries are steelmaking, the manufacture of textiles, and engineering. Its population is of relatively low density, the 2004 estimation being 257,100.",state in North-East of Germany,http://vocab.getty.edu/tgn/7000096,http://www.wikidata.org/entity/Q1208,,,http://vocab.getty.edu/tgn/7000096,,
1774,Frankreich,Bourgogne,00000591,Bourgogne,Burgundy,,,FRA1,former administrative divisions,Former region of eastern France (until 2016); the area was part of historic Burgundy.,former administrative region of France,http://vocab.getty.edu/tgn/7002875,http://www.wikidata.org/entity/Q1173,,,,,
1607,Deutschland,Mecklenburg-Vorpommern,20913435,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Meclemburgo-Pomerania Anteriore,Mecklenburg-Vorpommern,Mecklembourg-Poméranie-Occidentale,states,,state of Germany,http://vocab.getty.edu/tgn/7000094,http://www.wikidata.org/entity/Q1196,,,http://vocab.getty.edu/tgn/7000094,,
1576,Italien,Liguria & Ligurien,00001551,Liguria,Liguria,Liguria,Ligurien,Ligurie,regions,"Fertile coastal strip (Italian Riviera) and inland mountains; home to prehistoric Ligurii people, who inhabited Mediterranean coast from Rhône to Arno rivers; visited by Phoenicians & Greeks; taken by Rome 2nd cen. BCE; ruled by Genoa from 13th cen.",Italian region,http://vocab.getty.edu/tgn/7003236,http://www.wikidata.org/entity/Q1256,,,,,
1546,Italien,Friuli-Venezia Giulia & Friaul-Julisch Venetien,,Friuli-Venezia Giulia,Friuli Venezia Giulia,Friuli-Venezia Giulia,Friaul-Julisch Venetien,Frioul-Vénétie julienne,regions,,autonomous region of Italy,http://vocab.getty.edu/tgn/7002993,http://www.wikidata.org/entity/Q1250,,,,,
1540,Frankreich,Champagne-Ardenne,,Champagne-Ardenne,,,,Champagne-Ardenne,former administrative divisions,"Folded into the ""Grand Est"" region in 2016.",,http://vocab.getty.edu/tgn/7002880,,,,,,
1516,Frankreich,Nord-Pas-de-Calais,,Nord-Pas-de-Calais,,Nord-Passo di Calais-Piccardia,,Nord-Pas-de-Calais,former administrative divisions,"Former administrative division; in 2016, merged with Picardie region to become ""Hauts-de-France"" region. ",,http://vocab.getty.edu/tgn/7001097,,,,,,
1503,Frankreich,Pays de la Loire,,Pays de la Loire,Pays de la Loire,Paesi della Loira,Pays de la Loire,Pays de la Loire,regions,,administrative region of France,http://vocab.getty.edu/tgn/7002893,http://www.wikidata.org/entity/Q16994,,,,,
1460,Deutschland,Schleswig-Holstein,20913627,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,states,"Primarily comprises historic Holstein and Schleswig regions; Denmark's annexation of Schleswig brought them to war with Austria and Prussia in 1863; Schleswig-Holstein was annexed to Prussia in 1866, but N Schleswig went back to Denmark in 1920.",state in Northern Germany,http://vocab.getty.edu/tgn/7003688,http://www.wikidata.org/entity/Q1194,,,http://vocab.getty.edu/tgn/7003688,,
1385,Frankreich,Poitou-Charentes,,Poitou-Charentes,,,,Poitou-Charentes,former administrative divisions,"An administrative division (region) of France until 2016, when it was merged with the Aquitaine and Limousin regions to form the new region, ""Nouvelle-Aquitaine.""",,http://vocab.getty.edu/tgn/7002892,,,,,,
1361,Polen,Schlesien,,Śla̜skie,Silesian Voivodeship,Voivodato di Slesia,Woiwodschaft Schlesien,Voïvodie de Silésie,voivodeships,,,http://vocab.getty.edu/tgn/7024125,,,,,,
1346,Frankreich,Aquitaine,,Aquitaine,,,,Aquitaine,former administrative divisions,"The modern region of Aquitaine is roughly coextensive with the western half of the historical region of the same name. It encompasses the départements of Dordogne, Gironde, Landes, Lot-et-Garonne, and Pyrénées-Atlantiques in southwestern France. Conquered by Franks in 507; it was a duchy until 768; made subkingdom by Charlemagne and given to his son Louis 781; to the French crown in 877. It became a powerful feudal duchy controlling most of France south of Loire by the 11th century. Passed to Capetians in 1137, to the English in 1152. An administrative division until 2016, when it was grouped with the Limousin and Poitou-Charentes regions to form the new region, ""Nouvelle-Aquitaine.""",,http://vocab.getty.edu/tgn/7002878,,,,,,
1249,Frankreich,Alsace,,Alsace,,,,Alsace,former administrative divisions,"Former administrative division (through 2016, when it was folded into the ""Grand Est"" region) located between Rhine river and Vosges mountains; area historically has alternated between French and German rule; see also historic region, Alsace.",,http://vocab.getty.edu/tgn/7002870,,,,,,
1176,Tschechien,Böhmen,,Čechy,Bohemia,,,Bohême,general regions,"The region of Bohemia occupies a portion of central Europe now encompassed by the western Czech Republic, bounded on the north and west by Germany, the south by Austria, on the east by Moravia, and on the northeast by Silesia. It was a kingdom under the Holy Roman Empire and a province under the Austrian Empire of the Hapsburgs. Home to Slavs by the 6th century, the Carolingians brought Christianity in the 8th century. It was independent under King Wenceslaus in 10th century. In 1355, King Charles of Bohemia became the Holy Roman Emperor Charles IV, and Bohemia became part of the empire. From the early 15th century, it suffered continual discord and outright war between Roman Catholics and Protestants. From 1526 the kingdom was under Hapsburg rule and became part of the Austrian Empire. Following a Protestant revolt in 1620 that was suppressed by the Catholic Hapsburgs, Bohemia lost its status as a kingdom and was ruled directed by the Hapsburg emperor. By the mid-18th century it had been thoroughly absorbed into the Austrian Empire and most of the population reverted to Catholicism. This continued until 1918 when it joined with Slovakia to form the nation of Czechoslovakia. Bohemia was occupied by Nazi Germany from 1938, then again became a province of Czechoslovakia after 1945. In 1949 under a Communist government, it ceased to be an integral administrative unit. In 1993 with the division of Czechoslovakia unto Slovakia and the Czech Republic, the region formed central and western parts of the latter. ",historical region in the Czech Republic,http://vocab.getty.edu/tgn/7006470,http://www.wikidata.org/entity/Q39193,,,,,
1151,Frankreich,Rhône-Alpes,20091408,Rhône-Alpes,Rhône-Alpes,Rodano-Alpi,Rhône-Alpes,Rhône-Alpes,former administrative divisions,,former administrative region of France,http://vocab.getty.edu/tgn/7002897,http://www.wikidata.org/entity/Q463,,,http://vocab.getty.edu/tgn/7002897,,
1127,Frankreich,Provence-Alpes-Côte d'Azur,,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,Provenza-Alpi-Costa Azzurra,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,regions,,,http://vocab.getty.edu/tgn/7002895,,,,,,
1073,Frankreich,Picardie,00002471,Picardie,Picardy,Piccardia,Picardie,Picardie,former administrative divisions,"Essentially flat area in Paris Basin, with oceanic climate; most people live in medium-sized towns; agriculture is highly mechanized and crops include sugar, beets, wheat, barley, and potatoes; see also historic Picardie. In 2016, merged with Nord-Pas-de-Calais region to become the ""Hauts-de-France"" region. ",,http://vocab.getty.edu/tgn/7002890,,,,,,
1013,Polen,"Danzig, Freistaat",,,,,,,,,,,,,,,,
987,Belgien,"Antwerpen, Provinz",,Antwerpen,Antwerp,,,"Anvers, Province d'",provinces,"The province of Antwerpen is located in northern Belgiium on the frontier with the Netherlands. The area is watered by the Schelde River and its tributaries. It was once part of the old duchy of Brabant and became part of the French province of Deux-Nèthes after the French occupation of 1795. Its modern boundaries were established in 1815, although subsequently modified. It is divided into three sections, Antwerp, Mechelen, and Turnhout, with the capital at Antwerp. The 2003 estimated population is about 1,657,200. ","province in Flanders, Belgium",http://vocab.getty.edu/tgn/7003456,http://www.wikidata.org/entity/Q1116,,,,,
880,Schweiz,Basel-Stadt,,Basel-Stadt,Basle-Town,Canton Basilea Città,Kanton Basel-Stadt,Canton de Bâle-Ville,cantons,"Demicanton that functions as a full canton; includes the city of Basel and some small villages; separated from Basel-Landschaft in 19th century, after a rural revolt in 1831.",canton of Switzerland,http://vocab.getty.edu/tgn/7007667,http://www.wikidata.org/entity/Q12172,,,,,
864,Frankreich,Languedoc-Roussillon,,Languedoc-Roussillon,Languedoc-Roussillon,Linguadoca-Rossiglione,Languedoc-Roussillon,Languedoc-Roussillon,former administrative divisions,"Administrative division (region) until 2016, when it was merged with the Midi-Pyrénées region, to form the new ""Occitanie"" region. ",,http://vocab.getty.edu/tgn/7002885,,,,,,
857,Österreich,Kärnten,00260505,Kärnten,Carinthia,Carinzia,Kaernten,Carinthie,states,,federal state in the South of Austria,http://vocab.getty.edu/tgn/7003024,http://www.wikidata.org/entity/Q37985,,,,,
855,Italien,Abruzzo & Abruzzen,07700012,Abruzzi,Abruzzo,Abruzzi,Abruzzen,Abruzzes,regions,"Region in central Italy, the most mountainous in the Italian Apennines; populated since Paleolithic times; Roman from 304 BCE; part of Lombard duchy of Spoleto 6th-11th centuries CE; part of kingdom of Naples 1266-1860.",region in Italy,http://vocab.getty.edu/tgn/7009084,http://www.wikidata.org/entity/Q1284,,,,,
833,Vereinigte Staaten,Massachusetts,20913431,Massachusetts,Massachusetts,,,Massachusetts,states,Settled by Amerindians by 2nd mill. BCE; Norsemen may have landed here in 1003; Europeans fished here in 16th cen.; Plymouth Colony established by English in 1620; played key role in Revolution; was intellectual center of nation until mid-19th cen.,state of the United States of America,http://vocab.getty.edu/tgn/7007517,http://www.wikidata.org/entity/Q771,,,,,
828,Österreich,Steiermark,00002991,Steiermark,Styria,Stiria,Steiermark,Styrie,states,"The state of Steiermark is located in the mountainous central and southeast Austria. It was inhabited in Paleolithic times and was the site of mining in the Bronze Age. It was settled by Celts and became part of the Celtic kingdoms of Noricum, later incorporated into the Roman Empire ca. 15 BCE and named Pannonia. Germanic people invaded it in the 5th century CE, followed by the Avars and Slovenes. Bavarians ruled it from ca. 780, and it became a frontier territory of the Frankish Empire. It became a duchy in 1180 and passed to the Babenberg dukes of Austria in 1192, then to the family of Hapsburg in 1276. After World War I part of its southern area was ceded to Yugoslavia. Since then, except for a brief period as a district under the German annexation, 1938-1945, it has been a federal province of Austria. ",federal state in the south of Austria,http://vocab.getty.edu/tgn/7003028,http://www.wikidata.org/entity/Q41358,,,,,
805,Österreich,Tirol,00003271,Tirol,Tyrol,Tirolo,Tirol,Tyrol,states,"Tyrol is a mountainous region in southwestern Austria, bordering both Germany and Italy. Historically it has been in a strategic position guarding the Brenner Pass. Originally inhabited by Rhaetic tribes, it went to Rome in 15 BCE. Teutonic tribes took it over at the end of the western Roman Empire, then the Franks. The Hapsburgs ruled it from 1363 until 1918. After World War I, South Tyrol became part of Italy, which it remains to this day. ",federal state in western Austria,http://vocab.getty.edu/tgn/7003029,http://www.wikidata.org/entity/Q42880,,,,,
801,Frankreich,Midi-Pyrénées,,Midi-Pyrénées,,,,Midi-Pyrénées,former administrative divisions,"Administrative division (region) until 2016, when it was merged with the Languedoc-Roussillon region, to form the new ""Occitanie"" region.",,http://vocab.getty.edu/tgn/7002889,,,,,,
717,Österreich,Oberösterreich,00002291,Oberösterreich,Upper Austria,Alta Austria,Oberösterreich,Haute-Autriche,states,,federal state in the North of Austria,http://vocab.getty.edu/tgn/7003026,http://www.wikidata.org/entity/Q41967,,,,,
688,Italien,Trentino-Alto Adige & Trentino-Südtirol,,Trentino-Alto Adige,Trentino-Alto Adige,Trentino-Alto Adige,Autonome Region Trentino-Südtirol,Trentin-Tyrol-du-Sud,regions,"Mountainous region in northern Italy; was part of Austria in 19th century, and almost half of the population still speaks German as a first language; suffered in WW II after opposing the Fascist plan to ""Italianize"" the area.",autonomous region in Northern Italy,http://vocab.getty.edu/tgn/7003124,http://www.wikidata.org/entity/Q1237,,,,,
602,Österreich,Niederösterreich,00002041,Niederösterreich,Lower Austria,Bassa Austria,Niederösterreich,Basse-Autriche,states,,federated state of Austria,http://vocab.getty.edu/tgn/7003025,http://www.wikidata.org/entity/Q42497,,,http://vocab.getty.edu/tgn/7003025,,
577,Frankreich,Auvergne,20913195,Auvergne,Auvergne Region,Alvernia,Auvergne,Auvergne,former administrative divisions,"Until 2016, a first level division of France. The region was related to the historic region of Auvergne. It was a planning department of modern France, and its economy was based on animal husbandry in the mountain areas and on wheat and fodder cultivation on the plains. Relatively sparsely populated. ",,http://vocab.getty.edu/tgn/7002871,,,,,,
543,Frankreich,Basse-Normandie,20034878,Basse-Normandie,,,,Basse-Normandie,former administrative divisions,"Former administrative region of France. In 2016, it was merged with the former Haute-Normandie region, to create the new region of ""Normandie.""",,http://vocab.getty.edu/tgn/7002872,,,,http://vocab.getty.edu/tgn/7002872,,
534,Vereinigte Staaten,Kalifornien,20913354,California,California,,Kalifornien,Californie,states,"Inhabited by many ethnic nationalities including Mojave, Yuma and Chumash when Spanish arrived in 16th cen.; Franciscans established missions all along coast; went to Mexico in 1820s; went to US in 1848; great influx of settlers from E arrived in gold rush.",state of the United States of America,http://vocab.getty.edu/tgn/7007157,http://www.wikidata.org/entity/Q99,,,,,
