count,subject,exact,broader,iconclass subject
8,Unidentified Lady,,,
8,Unidentified Subject,,,
8,Welsh Landscape,,,
8,William Iii,,,
8,Windsor,,,
7,A Bay Hunter,,,
7,A Chariot for Continental Travelling: A Cabriolet Phaeton; Two Step-Piece Barouches,,,
7,A Hilly Landscape,,,
7,A Rocky Landscape,,,
7,A Romantic Landscape,,,
7,A Series Of Allegorical Scenes From The Antique: A Muse,,,
7,A Young Boy,,,
7,Album 1/ F 42,,,
7,An Old Man,,,
7,Ariadne,,,
7,Ascension,,,
7,Beatrice,,,
7,Beauvais,,,
7,Calais Pier,,,
7,Canterbury,,,
7,Catherine Of Braganza,,,
7,Chester,,,
7,Classical Composition,,,
7,Coastal Scene,,,
7,Comic Drawing,,,
7,Cymon And Iphigenia,,,
7,Dedham Vale,,,
7,Don Quixote,,,
7,Durham,,,
7,Female Head,,,
7,Folkestone,,,
7,From A Sketchbook Of Architectural And Scenic Drawings,,,
7,Frontispiece - Detail,,,
7,George Frederick Handel,,,
7,Gone Away,,,
7,Grouse Shooting,,,
7,Hadrian's Villa,,,
7,Hare Hunting,,,
7,Head Of A Boy,,,
7,Head of a Sailor,,,
7,Hudibras And Sidropel - Detail,,,
7,Hudibras And The Lawyer - Detail,,,
7,Hudibras Catechized - Detail,,,
7,Hudibras In Tribulation - Detail,,,
7,Hudibras Vanquished By Trulla - Detail,,,
7,Joan Of Arc,,,
7,John Locke,,,
7,King Rene's Honeymoon,,,
7,Lake Scene,,,
7,Matthew Prior,,,
7,Morning,,,
7,Naples,,,
7,Night,,,
7,North Wales,,,
7,Prince Rupert,,,
7,Queen Henrietta Maria,,,
7,Richmond Bridge,,,
7,"Richmond Castle, Yorkshire",,,
7,Rome From The Villa Madama,,,
7,Sketchbook Illustration,,,
7,Street Scene,,,
7,Studies Of Shipping,,,
7,Study Of Shipping,,,
7,Tangier,,,
7,The Artist,,,
7,The Committee - Detail,,,
7,The Cottage Door,,,
7,The Duke Of Wellington,,,
7,The Entombment,,,
7,The Ferry,,,
7,The Flower Girl,,,
7,The Tower of London,,,
7,The Waterloo Vase,,,
7,Valle Crucis Abbey,,,
7,Verona,,,
7,Waterfall,,,
7,Westminster Bridge,,,
7,detail: A Dutch Two-Decker,,,
7,detail: Covent Garden,,,
6,A Danish Timber Bank Getting Off (detail),,,
6,A Fete Champetre,,,
6,A Hunting Scene,,,
6,A Mother And Child,,,
6,A Pastoral,,,
6,A Still Life,,,
6,Album I/ F 31,,,
6,Alexander Pope (1688-1744),,,
6,Boy Fishing,,,
6,Caerphilly Castle,,,
6,Calais Harbour,,,
6,Camp Scene,,,
6,Castle In A Landscape,,,
6,Colonel Blair With His Family And An Ayah (detail),,,
6,Commemorative Triptych Of The St John Family,,,
6,Conversation Piece,,,
6,Covent Garden Market,,,
6,Denbigh Castle,,,
6,Dolbadarn Castle,,,
6,Dover Castle,,,
6,"Elizabeth Castle, Jersey",,,
6,Eton College,,,
6,Female Nude,,,
6,Figure Sketches,,,
6,Fireplace With Relief Of Charity And Children (detail),,,
6,Flora Macdonald,,,
6,From A Sketchbook Dated 1827,,,
6,Games Played in and Around London,,,
6,Hampstead Heath,,,
6,Haymakers,,,
6,Heidelberg,,,
6,Hudibras' First Adventure - Detail,,,
6,Human Caricature,,,
6,Illustration To John Gilpin,,,
6,James Boswell,,,
6,James I,,,
6,James Northcote,,,
6,King Charles II,,,
6,King Henry VIII Presents The Charter To The Barber-Surgeons' Guild In London (Detail),,,
6,Lake Windermere,,,
6,Landscape With Castle,,,
6,Landscape with Trees,,,
6,Lichfield Cathedral,,,
6,Lord Byron,,,
6,Ludlow Castle,,,
6,Lynmouth,,,
6,Malmesbury Abbey,,,
6,Man's Head,,,
6,Milking Time,,,
6,Napoleon,,,
6,Norwich Cathedral,,,
6,One Of Collection Of Pen And Ink Drawings Of Biblical And Historical Subjects.,,,
6,Pembroke Castle,,,
6,Perseus And Andromeda,,,
6,"Philip Dormer Stanhope, 4th Earl of Chesterfield",,,
6,Ploughing,,,
6,Portrait Of A Gentleman.,,,
6,Portrait Of A Young Boy,,,
6,Portrait of a Girl,,,
6,Ralph Allen,,,
6,"Rectangular Fruitwood Cigar Box, Painted C 1840",,,
6,Royal Academy School Laws,,,
6,Samuel Johnson,,,
6,Sea Piece,,,
6,Seated Woman,,,
6,Skecthbook,,,
6,Standing Male Nude,,,
6,Studies Of Mythological Figures,,,
6,Study For Charity,,,
6,Study Of Tulips,,,
6,The Conquest Of Mexico' - Detail,,,
6,The Coursing Party (detail),,,
6,The Crypt Below The Tower Of Allhallows Staining Church,,,
6,The Ellis Marriage Portrait,,,
6,The Farmyard,,,
6,The Fisherman,,,
6,The Gleaners,,,
6,The Harvest Field,,,
6,The Judgement Of Paris,,,
6,The Lady Of Shalott,,,
6,The Last Supper,,,
6,The Meet,,,
6,The Milkmaid,,,
6,The Nativity,,,
6,The Pedlar,,,
6,"The Piazzetta, Venice",,,
6,The Rescue,,,
6,The Resurrection (detail),,,
6,"The Rialto Bridge, Venice",,,
6,The Rivals,,,
6,Tower of London (detail),,,
6,Unknown Sitter,,,
6,Venus Rising From The Sea,,,
6,View Of Claremont,,,
6,View Of The Park At Dunham,,,
6,View Of Windsor Castle,,,
6,Yarmouth Jetty,,,
6,Young Man,,,
6,detail: Sunset With A View Of Nine Elms,,,
5,(An Interior),,,
5,A Chestnut Hunter,,,
5,A Church,,,
5,A Coastal Scene,,,
5,A Cottage,,,
5,A Farmhouse,,,
5,A Farmyard Scene,,,
5,A Highland Landscape,,,
5,A Landscape,,,
5,A Landscape Study,,,
5,A Naval Engagement,,,
5,A Nymph,,,
5,A Sailor,,,
5,A Shipwreck,,,
5,A Village Scene,,,
5,A Winter Landscape,,,
5,A Woman,,,
5,"A) A Palace On A River; Verso: Pencil Sketch Of Same ; B)Farm Cart At Dol; 1843, Verso: Pencil Sketch Of A View Of Dol, 1843 ; C) Inverness, 1859",,,
5,Album I/ F 28,,,
5,Album I/ F 30,,,
5,Albury,,,
5,An Unknown Lady,,,
5,Andromeda,,,
5,Annunciation,,,
5,Anon Gentleman,,,
5,Apollo,,,
5,At The Well,,,
5,Barges On A River,,,
5,Barnard Castle,,,
5,Battle Abbey,,,
5,Border Design For Houbraken's Engraved Portraits,,,
5,Bramber Castle,,,
5,Brighton Beach,,,
5,"Buildwas Abbey, Shropshire",,,
5,Cassiobury Park,,,
5,Cicero's Villa,,,
5,Cloud Studies,,,
5,Clytie,,,
5,Constantinople,,,
5,Cottage Interior,,,
5,Cottages,,,
5,Cottages Near Newcastle,,,
5,Crossing The Ford,,,
5,Cupid and Psyche,,,
5,Dancing The Minuet At Bath,,,
5,Design for a Monument,,,
5,Diana And Actaeon,,,
5,Duck Shooting,,,
5,Duke Of York,,,
5,East Bergholt Church,,,
5,Engraving Of Don Quixote,,,
5,Erasmus Darwin,,,
5,Figure De Mode,,,
5,Fishing Boats,,,
5,Flora,,,
5,George Iv,,,
5,Girl Reading,,,
5,Gloucester Cathedral,,,
5,God Judging Adam,,,
5,Green Closet Cove,,,
5,Group Of Figures,,,
5,Hampstead,,,
5,Hand Studies,,,
5,Head of a Girl,,,
5,Head of a Man,,,
5,Heads,,,
5,Jacques And The Wounded Stag,,,
5,Jeremy Pierce,,,
5,Knaresborough Castle,,,
5,Lady Hamilton As A Bacchante,,,
5,Lion Attacking a Horse,,,
5,Little Red Riding Hood,,,
5,Long Bird's Eye View Of London.,,,
5,Margate,,,
5,May Day,,,
5,Monument To Archbishop John Tillotson (detail),,,
5,Mother and Child,,,
5,Music,,,
5,"North End, Hampstead",,,
5,"Notre Dame, Paris",,,
5,Nudestudy,,,
5,"One of a Series of Eight Watercolour Sketches for ""The Village Festival""",,,
5,Oxford,,,
5,Panel of Music on frieze (Music Room) West Wycombe Park,,,
5,Pastoral,,,
5,Portrait Of A Cleric,,,
5,Portrait Of Alexander Pope,,,
5,Portrait Of An Unknown Lady,,,
5,Portrait of the Artist,,,
5,Psyche,,,
5,Puck,,,
5,Queen Catherine Of Braganza,,,
5,Richard III,,,
5,Richard III (1452–85),,,
5,Richmond,,,
5,Richmond Hill,,,
5,Rievaulx Abbey,,,
5,Rochester,,,
5,Sabrina,,,
5,Seascape With Shipping,,,
5,Seated Male Nude,,,
5,Shakespeare,,,
5,Shipping,,,
5,Shipping Off The Dutch Coast,,,
5,Shipping On The Thames,,,
5,Shipping off Dover (detail),,,
5,Sir Isaac Newton (1642-1727),,,
5,Sir Joshua Reynolds,,,
5,Sketcbook,,,
5,Sketch From An Album Of Views In Italy,,,
5,"Spanish Town Cathedral Chancel, South Aisle, East Wall; Monument to Thomas, Earl of Effingham, d. 19 Nov. 1791, and His Wife, d. 13 Oct. 1791 (detail)",,,
5,Standing Female Nude,,,
5,Studies Of Heads,,,
5,Study Of A Woman,,,
5,Study Of Hands,,,
5,Study of a Naval Gun,,,
5,Sunday Morning,,,
5,Tatton: Elevation for South Front,,,
5,Tavern Scene,,,
5,The Birth Of Venus,,,
5,The Blacksmith,,,
5,The Chase,,,
5,The Committee,,,
5,The Dead Sea,,,
5,The Destruction Of Niobe's Children,,,
5,The End Of The Day,,,
5,The Finding Of Moses,,,
5,The Godolphin Arabian,,,
5,The Harvest Moon,,,
5,The Holy Family,,,
5,The Lake Of Albano And Castel Gandolfo,,,
5,The Letter,,,
5,The Lovers,,,
5,The Minuet,,,
5,The Music Lesson,,,
5,The Proposal,,,
5,The Rainbow,,,
5,The Resurrection,,,
5,The Shipwreck,,,
5,The Sower,,,
5,The Thames At Twickenham,,,
5,The Thames At Westminster,,,
5,The Thames From Richmond Hill,,,
5,The Toilet Of Venus,,,
5,Trees in a Meadow,,,
5,Two Leopards,,,
5,Unidentified Gentleman,,,
5,Vesuvius From Posillipo,,,
5,"View Of Claremont, The Seat Of The Duke Of Newcastle",,,
5,View Of Greenwich,,,
5,View Of Rome,,,
5,View Of Whitehall,,,
5,Westminster from Lambeth,,,
5,Weymouth Bay,,,
5,Windsor Forest,,,
5,Woman and Child,,,
5,detail From A Blacksmith's Shop (2768) Pl 100,,,
5,detail From The Dort Packet Boat; detail From Shipping On The Dort (3333),,,
5,detail Of The Waterloo Allegory,,,
4,(detail),,,
4,1st Duke of Wellington,,,
4,A Bay Hunter In A Stable,,,
4,A Child,,,
4,A Child's Rosary Book 1923,,,
4,A Cleric,,,
4,A Coastal Scene.,,,
4,A Colonial Scene,,,
4,A Dinner Party,,,
4,A Farmstead,,,
4,A Farmyard,,,
4,A Grey Horse,,,
4,A Group Of Trees,,,
4,A Hawking Party,,,
4,A Jew Rabbi,,,
4,A Large Unidentified Family Group (Details Only),,,
4,A Man's Head,,,
4,A Mountainous Landscape,,,
4,"A Naval Engagement In The French Revolutionary Wars, 1794",,,
4,A River Landscape.,,,
4,A Schematic Cloud Study,,,
4,A Seated Woman,,,
4,"A Sketch Book, Inscribed On The End Paper And Fly Leaf John Flaxman Sculptor Began At Florence November The 4th 1787, Containing 78 Sketches In Pencil And Grey Wash Of Antique And Renaissance Sculpture In Florence And Rome, Some Inscribed, The Back With Various Invoices In Ink To Mr. Wedgwood And Mr. Deveare Dated 1788, 1789 And 1790 m Bound In Vellum, Octavo",,,
4,A Still Life Of Fruit,,,
4,A Summer Evening,,,
4,A Tavern Scene,,,
4,A View Across St James's Park,,,
4,A View In The Lake District,,,
4,A Volunteer,,,
4,A Waterfall,,,
4,A Watermill,,,
4,A Windmill,,,
4,A Woodland Pool,,,
4,Abraham And Isaac,,,
4,Academy Study,,,
4,Admiral Thomas Smith,,,
4,Album 1 / F 42,,,
4,Album 1 / F 5,,,
4,Album En Print,,,
4,Album Of Etching Of Trees,,,
4,An Ancient Castle,,,
4,An Angel,,,
4,An Artist,,,
4,An Elderly Gentleman,,,
4,An Idyll,,,
4,An Open Landscape,,,
4,Antwerp,,,
4,Apollo Belvedere,,,
4,"Archbishop Laud, After Van Dyck",,,
4,Ariccia,,,
4,Arundel Castle,,,
4,Bad News,,,
4,Ballet Dancers,,,
4,Bamborough Castle,,,
4,"Barden Tower, Yorkshire",,,
4,Bay Hunter In A Landscape,,,
4,Belshazzar's Feast,,,
4,Benjamin Franklin,,,
4,"Berry Pomeroy Castle, Devon",,,
4,Billingsgate,,,
4,Breaking Cover,,,
4,Bristol,,,
4,Bust of a Girl,,,
4,Caernarfon Castle,,,
4,Cape Of Good Hope,,,
4,Carisbrooke Castle,,,
4,Castle Acre Priory,,,
4,Cattle In A Meadow,,,
4,Celadon And Amelia,,,
4,Charles Beale I,,,
4,Chaucer,,,
4,Chertsey Excavations,,,
4,Chimney Piece,,,
4,"Chimney-Piece in the Tapestry Room, with the Figures of a Young Woman and a Young Man Holding Up Drapery to Form the Base of a Mirror, and Revealing the Fireplace",,,
4,Christ And The Woman Of Samaria,,,
4,Cicero At His Villa,,,
4,Comedy,,,
4,Contemplation,,,
4,Continental Tour Day Book,,,
4,Cordelia's Portion,,,
4,Cottage And Figures,,,
4,Country Lane,,,
4,Crossing The Brook,,,
4,Cupid,,,
4,Detail From Panorama Of The City And South London From Montagu House,,,
4,Detail Of ''The Reform Banquet'' 1832-34 (PMC 73-421A),,,
4,Detail Of Ceyx And Alcyone,,,
4,Detail Of The March To Finchley.,,,
4,Don Juan,,,
4,Dr Samuel Johnson,,,
4,Dr Thomas Arnold,,,
4,Eastward Ho! August 1857,,,
4,Elephant - Trunk Raised,,,
4,Eloisa,,,
4,Emma Hamilton,,,
4,"Emma, Lady Hamilton",,,
4,Essex Hunt,,,
4,Exeter,,,
4,Experimental Design,,,
4,Fair Rosamund And Queen Eleanor,,,
4,Flatford Mill,,,
4,Florence,,,
4,Flower Painting,,,
4,Foliage,,,
4,Fox Hunting,,,
4,Framlingham Castle,,,
4,Frederick Temple,,,
4,Frontispiece,,,
4,George Morland,,,
4,"George Villiers, 1st Duke Of Buckingham",,,
4,Glastonbury,,,
4,Gleaners,,,
4,Going Home,,,
4,Haddon Hall,,,
4,Hampton Court,,,
4,Harvesting,,,
4,Head Of A Young Woman,,,
4,Head Of An Old Man,,,
4,Henry VII,,,
4,Holy Family,,,
4,Hope,,,
4,Horses,,,
4,Horses Fighting,,,
4,Hudibras And The Lawyer,,,
4,Hudibras Encounters The Skimmington,,,
4,Hudibras Sallying Forth,,,
4,Hudibras Vanquished By Trulla,,,
4,Hunting Scene - Full Cry,,,
4,Hunting Scene–Full Cry,,,
4,Hyde Park,,,
4,Ideal Landscape,,,
4,Illustration To The Work Of Robert Blair,,,
4,In Richmond Park,,,
4,Indian Scene,,,
4,Interior Scene,,,
4,Italianate Landscape,,,
4,"Ivy Bridge, Devon",,,
4,"James, Duke Of York",,,
4,Jedburgh Abbey,,,
4,Jerusalem,,,
4,"John Douglas, Bishop Of Salisbury",,,
4,John Flaxman,,,
4,John Milton,,,
4,John Palmer,,,
4,Joseph Addison,,,
4,Kensington Gardens,,,
4,King Charles I,,,
4,King Cophetua And The Beggar Maid,,,
4,King George Iv,,,
4,King James I,,,
4,King Lear,,,
4,Kirkstall Abbey,,,
4,Label,,,
4,Lady Catherine Howard,,,
4,Lady Hamilton,,,
4,Lady Margaret Ogilvy,,,
4,Lago Maggiore,,,
4,Lake District Landscape,,,
4,Lake Of Nemi,,,
4,Landscape Studies In Surrey And In London.,,,
4,Landscape With Ruins,,,
4,Liber Studiorum,,,
4,Life Class at the Royal Academy,,,
4,Lincoln Cathedral,,,
4,Llangollen,,,
4,Loch Katrine,,,
4,London From Greenwich Hill,,,
4,Long View Of London (Detail),,,
4,Louvain,,,
4,Love And Death,,,
4,Lowestoft,,,
4,"Lucy Manners, Duchess Of Montrose (1717-88) (Detail)",,,
4,Macbeth And The Witches,,,
4,Madonna And Child,,,
4,Maidenhead Bridge,,,
4,Major Allan,,,
4,Male Figure,,,
4,Male and Female Figures of Classical Antiquity,,,
4,Manfred On The Jungfrau,,,
4,Marble Dining Room : Overdoor: Playing Boys,,,
4,Marine Subject,,,
4,Market Day,,,
4,Mary Queen Of Scots,,,
4,Melancholy,,,
4,Melrose Abbey,,,
4,Mercury,,,
4,Midsummer,,,
4,Miss Sarah Campbell,,,
4,Monument To Charlotte St Quintin (detail),,,
4,Monument To Lord Nelson 1813,,,
4,Monument to Admiral Lord Rodney,,,
4,"Mousehold Heath, Norwich",,,
4,Newark Castle,,,
4,Niagara Falls,,,
4,Noli Me Tangere,,,
4,Old Somerset House,,,
4,Old Walton Bridge,,,
4,Oriental Heads,,,
4,Otter Hunting,,,
4,Our Lady,,,
4,Pandora,,,
4,Paradise Lost,,,
4,"Part Of Saloon Ceiling, Brocket Hall",,,
4,Philae,,,
4,Plymouth,,,
4,Pointers,,,
4,Portrait Of A Young Gentleman,,,
4,Portrait of a Boy,,,
4,Portrait of a Man,,,
4,Poultry Studies,,,
4,Princess Amelia,,,
4,Princess Elizabeth,,,
4,Queen Elizabeth,,,
4,Queen Katherine's Dream,,,
4,Raving Madness,,,
4,Rembrandt,,,
4,Richard Nash,,,
4,"Richard, Marquess Wellesley",,,
4,Rinaldo And Armida,,,
4,River Landscape With Figures,,,
4,"Robert Dudley, Earl Of Leicester",,,
4,Roman Sketchbook 1746; Miscellaneous Notes,,,
4,Romeo And Juliet,,,
4,Romeo and Juliet,,,
4,Ruins,,,
4,Rustic Courtship,,,
4,Sailing Vessels In An Estuary,,,
4,Saint Cecilia,,,
4,Salisbury Cathedral,,,
4,Scarborough,,,
4,Scarborough Castle,,,
4,Scene In Plymouth Harbour,,,
4,Scenes From The Life Of Don Quixote,,,
4,Seated Female Nude,,,
4,Seated Girl,,,
4,Sheet From Dismembered Sketchbook,,,
4,Shipping In A Choppy Sea (detail),,,
4,Shipping On The Thames At Wapping (detail),,,
4,Shipping Scene,,,
4,Shipping on the Thames at Wapping (detail),,,
4,Sir Galahad,,,
4,Sir Henry Lee,,,
4,Sir Thomas More,,,
4,Sir William Petre,,,
4,Sketch,,,
4,Sketch From An Album Of Views In Italy:,,,
4,Soldier,,,
4,Southampton,,,
4,Southampton Water,,,
4,St James's Park,,,
4,St John's Cathedral,,,
4,St. Cecilia,,,
4,St. John,,,
4,St. Michael's Mount,,,
4,Studies For Book Illustrations,,,
4,Studies of Flags,,,
4,Studies of Sails and Rigging,,,
