count,place,label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri
36,Derbyshire,Derbyshire,Derbyshire,,,,counties,Consists of bleak moorlands in the north and lowlands of River Trent in the south; occupied since prehistoric times; formed part of kingdom of Mercia in 7th century; area remained pastoral until mining began in 18th century; important for textiles in 18th and 19th centuries.,,http://vocab.getty.edu/tgn/7008118,
24,West Sussex,West Sussex,West Sussex,,,,counties,"Comprises chalk hills and fertile coastal plains; early inhabitants left Bronze Age burial mounds and Iron Age hill forts; was inhabited by Romans, then Saxons in the late 5th century; noted for seaside resorts since the 14th century; is characterized by small villages.",,http://vocab.getty.edu/tgn/7008134,
23,Dorset,Dorset,Dorset,,,,counties,Settled by Neolithic peoples from France 2000 BCE; evidence of Beaker people 1800 BCE and Romans until 5th century; formed core of Saxon kingdom of Wessex ca. 495 and called Wessex in Thomas Hardy novels; site of Tolpuddle martyrs cry for organized labor in the 19th century.,"ceremonial county in South West England, UK",http://vocab.getty.edu/tgn/7011961,http://www.wikidata.org/entity/Q23159
20,Hampshire,Hampshire,Hampshire,,,,counties,"Part of Anglo-Saxon kingdom of Wessex in the 4th century; includes small Bronze Age farms, Iron Age hill forts, and Roman roads; county first mentioned in Anglo-Saxon Chronicle of 755; remained in episcopal see of Winchester 676-1927; besieged by Danes in the 9th and 11th centuries.",,http://vocab.getty.edu/tgn/7008139,
20,Yorkshire,Yorkshire,Yorkshire,,,,general regions,"Area in north-central England between the Pennines and the North Sea. Formerly a large county. The region is composed of four broad belts of land stretching from north to south: in the west the high Pennine moorlands dissected by the Yorkshire Dales; in the southeast the central lowlands (including the Vale of York) draining into the River Humber estuary; in the east the North York Moors and Yorkshire Wolds; and, farther southeast, the Holderness plain along the North Sea. Site of prehistoric remains, including earthworks at Stanwick; it was a Roman military stronghold 1st-5th centuries CE. Controlled by indigenous Britons, then part of the kingdom of Deira from the 6th-9th centuries. It was taken by Danes 875 and recaptured by kings of Wessex 954. The region remained strongly Anglo-Scandinavian in culture until the Normans took control in 1069. Important monasteries and estates were established. After the Black Death of the 14th century, most of Yorkshire's crop land became pasture for sheep and woolen manufacture became an important industry. It was the base for Yorkists during War of the Roses (1455-1485) and two of the most important battles were fought here (Wakefield and Towton, 1460 and 1461). The battle at Marston Moor in 1644 was one of the most crucial of the English Civil Wars. Architecture in Yorkshire includes pre-Norman churches; abbeys such as the ruined Rievaulx; castles such as Bolton; the Gothic York Minster; and notable country houses such as 18th-century Castle Howard.",historic county of England,http://vocab.getty.edu/tgn/7008171,http://www.wikidata.org/entity/Q163
19,Leicestershire,Leicestershire,Leicestershire,,,,counties,"Comprises scenic river valleys, rolling hills, and woods; some of the first canal and rail transport developments of Industrial Revolution took place here; industries include hoisery, Stilton cheese, footwear, and engineering; contains many fines country houses.",,http://vocab.getty.edu/tgn/7008155,
18,Warwickshire,Warwickshire,Warwickshire,,,,counties,"County in central England, in the Midlands; drained by River Avon and headwaters of River Cherwell; comprises coal measures, woodlands, and meadows; evidence of prehistoric and Roman occupation; Roman road, Watling Street still forms part of county border; mostly agricultural, especially dairying and fruit-growing; county lost its more industrial northwestern area, including Birmingham, Coventry, and Solihull, to the West Midlands under local government reorganization in 1974.",,http://vocab.getty.edu/tgn/7008178,
14,Oxford,Oxford,Oxford,,,,inhabited places,"City allegedly founded as a nunnery by Frideswide (died 735). Famous for the 12th-century Oxford University, the country's oldest; the first college, University College, dates from 1249. Oxford was first mentioned as a town in a Saxon chronicle dated 912. Headquarters of the Royalists during the 17th-century English Civil War. A center for auto production since 1918; noted for important sytems of canals and railways.","city in Oxfordshire, England",http://vocab.getty.edu/tgn/7011931,http://www.wikidata.org/entity/Q34217
9,Norfolk,Norfolk,Norfolk,,,,counties,"Low-lying area crossed by rivers Yare, Wensum, and Bure; noted for Paleolithic, Mesolithic, and Neolithic remains; occupied by British Inceni people in the 3rd century; was wealthy and densely populated in the 11th century; economy based on food-processing, fishing, and shoes.","county in East Anglia, England, UK",http://vocab.getty.edu/tgn/7008160,http://www.wikidata.org/entity/Q23109
6,Exeter,Exeter,Exeter,,,,inhabited places,"Located on the River Exe; center of an early British tribe, the Dumnonii, which was later taken over by the Romans; site of a Saxon monastery 680; stormed by Danes in 876 and 1003, Saxon King Athelstan in 926 and William the Conqueror in 1068; sided with Royalists during English Civil War; was wool center 10th-16th centuries; naval base heavily bombed during World War II; Bishop's Palace contains the Exeter Book of 950 and the Exon Domesday Book.","city in Devon, England",http://vocab.getty.edu/tgn/7011953,http://www.wikidata.org/entity/Q134672
4,Kendal,Kendal,Kendal,,,,inhabited places,,,http://vocab.getty.edu/tgn/7010221,
2,Edinburgh,Edinburgh,Edinburgh,,,,inhabited places,Located on S shore of Firth of Forth; inhabited by Romans in 2nd century and Lothians in 6th century; divided into 12th-century Old Town and 18th-century New Town; became major textile and industrial center in 18th century; noted for Georgian architecture.,"capital city of Scotland, UK",http://vocab.getty.edu/tgn/7009546,http://www.wikidata.org/entity/Q23436
1,Cardiff,Cardiff,Cardiff,,,,inhabited places,Was Roman fort in the 1st century CE; expanded into walled town by Normans in the 12th century; ruled by several British monarchs 15th-19th centuries; world's largest coal exporter 1913-1963; other industries are steel and food-processing.,"capital city of Wales, United Kingdom",http://vocab.getty.edu/tgn/7008742,http://www.wikidata.org/entity/Q10690
1,Washington,Washington,Washington,,,,inhabited places,"Coextensive with District of Columbia; located on swampy ground at navigational head of Potomac River; site was selected by 1st US president George Washington; city plan was laid out by French engineer Charles L'Enfant; burned in War of 1812, but rebuilt.",capital city of the United States of America,http://vocab.getty.edu/tgn/7013962,http://www.wikidata.org/entity/Q61
