count,country,region,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri
1777,United States,Illinois,Illinois,Illinois,,,Illinois,states,Inhabited by 8000 BCE; Mississippian people flourished ca. 1300 CE; had largest pre-Columbian community N of Mexico; various Algonquian tribes were here when French & English settled 17-18th centuries; went to USA in 1778 in Revolution; pro-Union in Civil War.,state of the United States of America,http://vocab.getty.edu/tgn/7007251,http://www.wikidata.org/entity/Q1204
1359,United States,South Carolina,South Carolina,South Carolina,Carolina del Sud,,Caroline du Sud,states,"Inhabited by Cusabo, Creek, Congaree and others when Spanish, French & English arrived 16-17th cen.; Europeans penetrated inland in 18th cen.; strongly supported the American Revolution; was slave state, the first to join Confederacy in 1860 in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007712,http://www.wikidata.org/entity/Q1456
1184,United States,Michigan,Michigan,Michigan,,,Michigan,states,"Inhabited by Ojibwa, Ottawa, Potawatomi and others when French arrived in 18th cen.; taken by England in 1760s, by USA in Revolution and again in War of 1812; most Amerindians were forced west in 19th cen.; pro-Union in Civil War, noted for African regiment.",state of the United States of America,http://vocab.getty.edu/tgn/7007520,http://www.wikidata.org/entity/Q1166
989,United States,North Carolina,North Carolina,North Carolina,Carolina del Nord,,Caroline du Nord,states,"Inhabited since 14,000 BCE; Catawba, Cherokee and others were here when Europeans arrived 16th-17th cen., last group was forced out in 1830s; had internal strife due to divided loyalties during the American Revolution; joined the Confederacy in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007709,http://www.wikidata.org/entity/Q1454
806,United States,Missouri,Missouri,Missouri,,,Missouri,states,"Inhabited by Osage and Missouri Indians when French arrived in 17th cen.; area went to Spain in 1762, back to France and then sold to USA in Louisiana Purchase of 1803; was a slave state, but did not secede from the Union in the Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007523,http://www.wikidata.org/entity/Q1581
760,United States,Rhode Island,Rhode Island,Rhode Island,Rhode Island,,Rhode Island,states,"First European settlements were established by English colonists banished from Massachusetts in 1630s; attracted diverse population, including Quakers and Jews; fought in Revolution; long resisted ratification of the Constitution; was strongly pro-Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007711,http://www.wikidata.org/entity/Q1387
664,United States,Kentucky,Kentucky,Kentucky,,,Kentucky,states,"Inhabited by early Mound Builders; was hunting ground for Shawnee, Cherokee and others when Europeans settled here in 18th cen.; infamous for bloody battles with Amerindians when pioneers moved through on way west; was divided by slavery during Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007255,http://www.wikidata.org/entity/Q1603
662,Canada,Ontario,Ontario,Ontario,,,Province d’Ontario,provinces,"Canada's 2nd largest province; originally inhabited by Huron, Erie, and Petun Indians; ceded by France to Great Britain 1763; nation's most important mining province; produces around half of world's nickel; also contains copper, iron ore, gold and zinc.",province of Canada,http://vocab.getty.edu/tgn/7013154,http://www.wikidata.org/entity/Q1904
626,United States,Texas,Texas,Texas,,,Texas,states,"Possibly inhabited by 35,000 BCE; later had hunting and agrarian cultures; formed loose Caddo confederacies; Spanish and French settled here 16th-18th centuries; European-Americans came in 19th century; territorial conflict with Mexico 1830s; Confederate in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007826,http://www.wikidata.org/entity/Q1439
593,United States,Florida,Florida,Florida,,Florida,Floride,states,"On low-lying peninsula inhabited by 8,000 BCE; farming began by 500 BCE, with hunters/fishers living in N and some immigration from Cuba and Bahamas; Seminoles lived here in 19th cen.; Spanish arrived in 16th century, but major European influx came in 19th century.",state of the United States of America,http://vocab.getty.edu/tgn/7007240,http://www.wikidata.org/entity/Q812
575,United States,Minnesota,Minnesota,Minnesota,,,Minnesota,states,"Inhabited in Pleistocene epoch (18,000 BCE); major groups were Ojibwa and Sioux when French fur traders arrived in 17th cen.; made of sections from Louisiana Purchase & NW Territory; supported Union in Civil War; homesteaded by Scandinavians in 1880s.",state of the United States of America,http://vocab.getty.edu/tgn/7007521,http://www.wikidata.org/entity/Q1527
571,United States,Indiana,Indiana,Indiana,,,Indiana,states,"Originally inhabited by Mound Builders; when Europeans arrived, Algonquian-speaking Miami Confederation, Potowatomi and Delaware, lived here; claimed by French in the 17th century, by British in 1763, and by the colonists in the Revolutionary War. It was strongly pro-Union in the Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007252,http://www.wikidata.org/entity/Q1415
546,United States,Georgia,Georgia,Georgia,,,Géorgie,states,"Inhabited by Creek and Cherokee when English settled here in 18th century as buffer between Spanish Florida & English South Carolina; had divided loyalties in Revolution; slavery was prohibited in 18th century, but was slave state and pro-Confederacy in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007248,http://www.wikidata.org/entity/Q1428
539,United States,Louisiana,Louisiana,Louisiana,,,Louisiane,states,"Occupied by 14,000 BC; Chitimacha, Biloxi, Atakapa and others lived here when Spanish and French settled in 16th-17th cen.; French brought in many slaves; was in Louisiana Purchase; was split between Union & Confederate forces early in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007256,http://www.wikidata.org/entity/Q1588
479,United States,Maine,Maine,Maine,Maine,,Maine,states,Red Paint people settled here as early as 9th mill. BCE; later Algonquians arrived; Norsemen possibly visited in 11th cen.; colonies established by French in 1604 and English in 1607; fought in Revolution & with Union; Canadian border disputed in 19th cen.,state of the United States of America,http://vocab.getty.edu/tgn/7007515,http://www.wikidata.org/entity/Q724
453,United States,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,states,"Area was occupied by Amerindians, who were later called ""Delaware""; settled by English, Dutch and Swedes in 17th century; strongly supported the Revolution, was first to ratify the Federal Constitution; was slave state before Civil War, though loyal to Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007239,http://www.wikidata.org/entity/Q1393
449,United States,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,states,"Originally inhabited by Amerindian hunters; settled by French in 17th cen., by Dutch in 1724, by British after 1763; fought for independence from New Hampshire & New York, then in Revolution; saw only Confederate attack N of Pennsylvania in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007828,http://www.wikidata.org/entity/Q16551
384,Canada,Quebec,Québec,Quebec,,,Province du Québec,provinces,"Originally inhabited by Algonkin, Montagnais and Cree Indians; Eskimos later settled in Hudson Bay area; region declared for France by Jacques Cartier who landed at Gaspé 1534; settlement of colony of New France commenced at present Québec City 1608.",,http://vocab.getty.edu/tgn/7005804,
291,United States,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,states,Region was explored by French and English in early 17th cen.; was included in land grant to John Mason in 1629; had long boundary feud with Massachusetts and New York; fought in Revolution and was strongly pro-Union.,state of the United States of America,http://vocab.getty.edu/tgn/7007564,http://www.wikidata.org/entity/Q759
237,United States,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,states,"Area has been occupied for over 10,000 years; inhabited by Creek, Cherokee, Choctaw, Chickasaw & other tribes when Europeans arrived in 18th cen.; settlers took over area from Amerindians after War of 1812; was Confederate state in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7002659,http://www.wikidata.org/entity/Q173
199,United States,Tennessee,Tennessee,Tennessee,,,Tennessee,states,"Inhabited by Mound Builders; later was home to Cherokee, Chickasaw, Shawnee and Creek tribes; visited by Spanish & French 16th-17th cen.; Virginians & North Carolinians settled here 18th cen.; joined Confederacy in 1861, site of bloody battles in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007825,http://www.wikidata.org/entity/Q1509
188,United States,Colorado,Colorado,Colorado,,,Colorado,states,"Inhabited by Basket Makers (early Anasazi) around start of Christian Era; inhabited by cliff-dwellers and Plains Indians, mainly Arapaho and Cheyenne, when Spanish & French arrived 16th-18th century; parts went to USA in Louisiana Purchase and after Mexican War.",state of the United States of America,http://vocab.getty.edu/tgn/7007158,http://www.wikidata.org/entity/Q1261
182,United States,Wisconsin,Wisconsin,Wisconsin,,,Wisconsin,states,"Inhabited by Ojibwa (Chippewa), Sauk, Fox, Kickapoo, Winnebago and others when French arrived from Canada in 17th cen.; went to British in 1763, to USA after Revolution; large influx of Europeans occurred in 1820s; supported Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007922,http://www.wikidata.org/entity/Q1537
181,United States,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,states,"Settled since 25,000 BCE; home to Hohokam by 300 BCE and Anasazi by 100 CE; nomadic Apache and Navajo arrived ca. 1300; Spanish came 16-17th centuries; area went to Mexico in 1821, to USA in 1850s after Mexican War; sided with Confederacy in 1861 in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7006451,http://www.wikidata.org/entity/Q816
165,,New York,New York,New York,Stato di New York,New York,État de New York,states,Occupied by Algonquians (Mohican & Munsee) and Iroquois (Five Nations) when Europeans settled here in 17th cen.; French and Algonquians warred with English & Iroquois in 18th cen.; state was divided during Revolution; supported Union in Civil War.,state of the United States of America,http://vocab.getty.edu/tgn/7007568,http://www.wikidata.org/entity/Q1384
145,United States,Nebraska,Nebraska,Nebraska,,,Nebraska,states,"Inhabited by prehistoric cultures from 8000 BCE; later, was home to several tribes including Sioux and Pawnee, whose lifestyle altered with arrival of Spanish horses in 16th cen.; major European influx came after Louisiana Purchase; pro-Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007525,http://www.wikidata.org/entity/Q1553
142,United States,Oklahoma,Oklahoma,Oklahoma,,,Oklahoma,states,"Had Clovis and Folsom cultures 13,000 BCE; other advanced cultures thrived 500-1300 CE; Wichita, Osage, Kiowa, Comanche, Apache and others were here when Spanish & French came 16-18th cen.; in Louisiana Purchase; tribes from N and E were forced here in 19th cen.",state of the United States of America,http://vocab.getty.edu/tgn/7007707,http://www.wikidata.org/entity/Q1649
129,United States,Washington,Washington,Washington,,,Washington,states,Inhabited by many groups of NW Coast Indians and North American Plateau Indians when European and American fur traders and Protestant missionaries arrived in 18th-19th cen.; N border was agreed upon by Britain (Canada) and the USA in 1846.,state of the United States of America,http://vocab.getty.edu/tgn/7007920,http://www.wikidata.org/entity/Q1223
109,Italy,Lazio,Lazio,Latium,Lazio,Latium,Latium,regions,Region of Italy comprising a hilly area with a narrow coastal plain in central Italy. Modern adminisrative region includes a part of the territory of ancient Latium.,administrative region of Italy,http://vocab.getty.edu/tgn/7003080,http://www.wikidata.org/entity/Q1282
101,United States,Kansas,Kansas,Kansas,,,Kansas,states,"Had agricultural culture by 1200; inhabited by Kansa, Wichita, Pawnee & others when Spanish & French visited 17th-18th cen.; part of Louisiana Purchase 1803; tribes from N & E were forced here 19th cen.; had internal strife over slavery, fought for Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007254,http://www.wikidata.org/entity/Q1558
86,Italy,Piemonte,Piemonte,Piedmont,Piemonte,Piemont,Piémont,regions,Part of the Roman Empire from 1st cen. BCE; established as a political unit by 10th cen.; went to Savoy in 1045; supported feudal states in 12th cen.; was nominal fief of Holy Roman Empire through Middle Ages; held by house of Savoy into 19th cen.,region in North-West Italy,http://vocab.getty.edu/tgn/7003120,http://www.wikidata.org/entity/Q1216
80,United States,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,states,"Inhabited by Chinook, Tillamook, Yamel, Northern Paiute, Modoc & many others when Spanish & English arrived in 16th cen.; settled by fur merchants in 18th cen.; great influx of settlers from E arrived in mid-19th cen.",state of the United States of America,http://vocab.getty.edu/tgn/7007708,http://www.wikidata.org/entity/Q824
77,Italy,Sicily,Sicilia,Sicily,Sicilia,Sizilien,Sicile,regions,"The region comprises the large island of the same name and several nearby smaller islands. Sicily became a major center of revolutionary movements in the 19th century: as a result of Giuseppe Garibaldi's revolt, it was liberated from the Bourbons in 1860 and in the following year it was incorporated into the united kingdom of Italy. Sicily gained regional autonomy in 1947.",Italian region,http://vocab.getty.edu/tgn/7003122,http://www.wikidata.org/entity/Q1460
59,England,Dorset,Dorset,Dorset,,,,counties,Settled by Neolithic peoples from France 2000 BCE; evidence of Beaker people 1800 BCE and Romans until 5th century; formed core of Saxon kingdom of Wessex ca. 495 and called Wessex in Thomas Hardy novels; site of Tolpuddle martyrs cry for organized labor in the 19th century.,"ceremonial county in South West England, UK",http://vocab.getty.edu/tgn/7011961,http://www.wikidata.org/entity/Q23159
58,England,Wiltshire,Wiltshire,Wiltshire,,,,counties,"County in southern England; watershed area separating basins of Bristol Channel, English Channel and River Thames; chalk uplands populated in prehistoric times and contains many stone monuments and burial mounds, including Neolithic Stonehenge and Avebury; primarily an agricultural area; administrative center is Trowbridge; Swindon became an independent unitary authority in 1997.","unitary authority (doesn't include Swindon) in Wiltshire, South West England, United Kingdom",http://vocab.getty.edu/tgn/7008180,http://www.wikidata.org/entity/Q21694746
57,United States,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,states,"Inhabited by prehistoric Mound Builders; Iowa, Sac, Fox, Sioux and others were here when French arrived in 17th cen.; part of Louisiana Purchase of 1803; settlers displaced Amerindians by mid-19th cen.; fought for Union & aided escaping slaves in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007253,http://www.wikidata.org/entity/Q1546
47,United States,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaï,states,One of two non-contiguous states; comprises most of the Hawaiian Islands; probably first inhabited by Polynesians who immigrated from Marquesas Islands ca. CE 400; immigrants from Tahiti arrived in 9th century; Europeans and Americans arrived in the 18th century,state of the United States of America,http://vocab.getty.edu/tgn/7007249,http://www.wikidata.org/entity/Q782
45,England,Sussex,Sussex,Sussex,,,,divisions,,,http://vocab.getty.edu/tgn/7445633,
44,England,Derbyshire,Derbyshire,Derbyshire,,,,counties,Consists of bleak moorlands in the north and lowlands of River Trent in the south; occupied since prehistoric times; formed part of kingdom of Mercia in 7th century; area remained pastoral until mining began in 18th century; important for textiles in 18th and 19th centuries.,,http://vocab.getty.edu/tgn/7008118,
42,England,Hampshire,Hampshire,Hampshire,,,,counties,"Part of Anglo-Saxon kingdom of Wessex in the 4th century; includes small Bronze Age farms, Iron Age hill forts, and Roman roads; county first mentioned in Anglo-Saxon Chronicle of 755; remained in episcopal see of Winchester 676-1927; besieged by Danes in the 9th and 11th centuries.",,http://vocab.getty.edu/tgn/7008139,
41,Italy,Lombardy,Lombardia,Lombardy,Lombardia,Lombardei,Lombardie,regions,"Inhabited by Gallic people; part of Roman Cisalpine Gaul from 3rd century BCE; core of Germanic Lombard kingdom from 569; ruled by Charlemagne from 774, by bishops of Milan from the 11th century, by Visconti family and Sforza dukes 14th-15th centuries, then by Hapsburgs.",administrative region in Northern Italy,http://vocab.getty.edu/tgn/7003237,http://www.wikidata.org/entity/Q1210
36,United States,Utah,Utah,Utah,,,Utah,states,"Inhabited by 10,000 BCE; Anasazi culture arrived from SW ca. 400 CE; Shoshoni (including Southern Paiute, Gosiute & Ute) lived here when Spanish arrived 16th-18th cen.; European-Americans arrived in 19th cen.; went USA in 1848 after the Mexican War.",state of the United States of America,http://vocab.getty.edu/tgn/7007827,http://www.wikidata.org/entity/Q829
35,United States,Mississippi,Mississippi,Mississippi,,,Mississippi,states,"Inhabited by Chickasaws, Choctaws, and Natchez when Spanish and French arrived 16th-17th centuries; went to England after French and Indian War in 1763, but occupied by Spain in American Revolution; was slave state, suffered much damage in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007522,http://www.wikidata.org/entity/Q1494
34,Italy,Tuscany,Toscana,Tuscany,Toscana,Toskana,Toscane,regions,"Area was core of ancient Etruria; conquered by Romans 4th century BCE; ruled by Lombards, then Franks; most cities became independent communes 11th-12th centuries; saw great strife between Guelphs and Ghibellines; part of grand duchy of Florence from the 16th century.",region in central Italy,http://vocab.getty.edu/tgn/7009760,http://www.wikidata.org/entity/Q1273
31,England,Oxfordshire,Oxfordshire,,,,,counties,Area covers most of Thames Valley; contains many Paleolithic and Neolithic artifacts; part of Anglo-Saxon kingdom of Wessex and Mercia; ruled by Danes 10th-11th centuries; site of battles during English Civil War; area includes a portion of Berkshire since 1974.,"county in England, UK",http://vocab.getty.edu/tgn/7008168,http://www.wikidata.org/entity/Q23169
30,England,Berkshire,Hereford and Worcester,Hereford and Worcester,,,,former administrative divisions,"A former county of west-central England, on the border with Wales. It was formed in 1974 from Herefordshire and Worcestershire, which were reinstated in 1998 as independent areas, as a unitary authority and county respectively.",,http://vocab.getty.edu/tgn/7029494,
28,England,Warwickshire,Warwickshire,Warwickshire,,,,counties,"County in central England, in the Midlands; drained by River Avon and headwaters of River Cherwell; comprises coal measures, woodlands, and meadows; evidence of prehistoric and Roman occupation; Roman road, Watling Street still forms part of county border; mostly agricultural, especially dairying and fruit-growing; county lost its more industrial northwestern area, including Birmingham, Coventry, and Solihull, to the West Midlands under local government reorganization in 1974.",,http://vocab.getty.edu/tgn/7008178,
27,,Virginia,Virginia,Virginia,,,Virginie,states,"Inhabited by Tutelo Indians, Powhatan, Conoy & others; English settled here in early 17th cen., had white & black indentured servants, later employed slaves; fought in American Revolution; joined Confederacy & was site of bloody battles in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007919,http://www.wikidata.org/entity/Q1370
27,England,Co. Durham,Durham,Durham,,,,counties,"Administrative, geographic, and historic county in northeastern England on the North Sea coast. It comprises two upland regions, lowlands of Wear valley, and limestone plateaus. The administrative county comprises seven districts: Chester-le-Street, Derwentside, the city of Durham, Easington, the borough of Sedgefield, Teesdale, and Wear Valley. The geographic county includes the entire administrative county, the unitary authorities of Darlington and Hartlepool, and the part of the unitary authority of Stockton-on-Tees (including the historic core of Stockton) north of the River Tees. The historic county includes the entire geographic county except for the part of the Teesdale district south of the River Tees, which belongs to the historic county of Yorkshire. The metropolitan boroughs of Gateshead, South Tyneside, and Sunderland in the metropolitan county of Tyne and Wear also belong to the historic county of Durham. The region was inhabited by agricultural peoples from Neolithic times through the Iron Age. Durham was incorporated into the Saxon kingdom of Northumbria during the 6th century. The region became important economically when it became a center for coal-mining and other heavy industry in the 19th century. Durham county was the site of the world's first passenger railway, which began running between Stockton and Darlington in 1825. The county suffered economic depression between World Wars I and II.",,http://vocab.getty.edu/tgn/7008127,
27,United States,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,states,"Area was home to Bluff Dwellers by 500 BCE, later to Mound Builders; Caddo, Quapaw, and others lived here when European fur traders arrived in 17th century; in Louisiana Purchase of 1803; was slave state, but only reluctantly joined Confederacy in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7016172,http://www.wikidata.org/entity/Q1612
26,Italy,Campania,Campania,Campania,Campania,Kampanien,Campanie,regions,"Administrative region of Italy. Productive agricultural area from ancient times; settled by Etruscans; taken by Samnites 5th century BCE, supported Greek colonies along coast; was Roman from 4th century BCE; later ruled by Goths, Byzantines, Lombards, and Normans; part of Two Sicilies from 1282.",region in Southern Italy,http://vocab.getty.edu/tgn/7003005,http://www.wikidata.org/entity/Q1438
26,United States,New Mexico,New Mexico,New Mexico,Nuovo Messico,,Nouveau-Mexique,states,"Inhabited by 8,000 BCE; Anasazi & ancestors of Pima & Papago lived here by 12-13th cen. CE; Navajo & Apache arrived here from N by 15th cen.; Spanish arrived 16-17th cen.; area went to Mexico in 1821, to USA in 1848 in Mexican War; with Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007566,http://www.wikidata.org/entity/Q1522
24,Scotland,Selkirkshire,Selkirkshire,Selkirkshire,,,,second level subdivisions,,,http://vocab.getty.edu/tgn/7448930,
23,,Massachusetts,Massachusetts,Massachusetts,,,Massachusetts,states,Settled by Amerindians by 2nd mill. BCE; Norsemen may have landed here in 1003; Europeans fished here in 16th cen.; Plymouth Colony established by English in 1620; played key role in Revolution; was intellectual center of nation until mid-19th cen.,state of the United States of America,http://vocab.getty.edu/tgn/7007517,http://www.wikidata.org/entity/Q771
23,England,Hertfordshire,Hertfordshire,Hertfordshire,,,,counties,"Located in southeastern England, north of Greater London; drained by rivers Lea and Colne. It contains Neolithic, Bronze Age and Roman remains, a Norman castle, and many large country estates; expanded greatly in the 20th century to accomodate population and industrial overflow from London. The county is divided into ten districts.",,http://vocab.getty.edu/tgn/7008145,
23,England,Kent,Kent,Kent,,,,counties,"Comprises chalk cliffs, grasslands and woodlands; inhabited since prehistoric times; settled by Romans ca. 43; invaded by Jutes and Saxons in the 5th century; in Middle Ages, pilgrims came to Canterbury and Rochester cathedrals; famous for its fruits and vegetables.","ceremonial county of England, United Kingdom",http://vocab.getty.edu/tgn/7008153,http://www.wikidata.org/entity/Q23298
23,Italy,Minnesota,,,,,,,,,,
22,,Pennsylvania,Pennsylvania,Pennsylvania,,,Pennsylvanie,states,"Occupied mainly by Algonquian, with Iroquoian-speakers in E, when English, Dutch and Swedes settled here 17th cen.; haven for religious dissenters founded by W Penn in 1682; suffered battles in French and Indian wars; was strongly pro-Revolution and pro-Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007710,http://www.wikidata.org/entity/Q1400
22,Canada,British Columbia,British Columbia,Province of British Columbia,Columbia Britannica,,Province de Colombie-Britannique,provinces,"Visited by Sir Francis Drake 1578-1579, Juan de Fuca 1592 and Captain Cook 1778; coast was surveyed by Captain George Vancouver 1790s; nation's most mountainous province; products include lumber, copper, zinc, lead, molybdenum, iron ore, natural gas and oil.",province of Canada,http://vocab.getty.edu/tgn/7005735,http://www.wikidata.org/entity/Q1973
22,England,Buckinghamshire,Buckinghamshire,Buckinghamshire,,,,counties,"Inhabited by Neolithic peoples, Romans and Saxons; part of kingdom of Mercia; many great estates were built here after clearance of woodlands in 17th century; furniture and printing began after WW II.",,http://vocab.getty.edu/tgn/7008104,
22,England,Shropshire,Shropshire,Shropshire,,,,counties,"Comprises river valleys, low ridges and plains; remains include several Late Neolithic and Early Bronze Age objects and a 1st-century Roman fortress; was long object of English-Welsh border disputes; large iron-producing area since Industrial Revolution; the world's first cast-iron bridge was built at Ironbridge in 1779; the area is now mainly agricultural. The rapidly developing area around Telford new town became an independent unitary authority (Telford and Wrekin) in 1998. ",,http://vocab.getty.edu/tgn/7012034,
21,,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,states,"Originally inhabited by 16 tribes of Algonquian Indians; Dutchman, A Block, was first European in the area; English arrived in 1633, battled with Amerindians & Dutch; area provided supplies for Revolution; characterized today by rural & shore communities.",state of the United States of America,http://vocab.getty.edu/tgn/7007159,http://www.wikidata.org/entity/Q779
21,England,Nottinghamshire,Nottinghamshire,Nottinghamshire,,,,counties,"County in the East Midlands of England, on the east slope of the Pennine Mountains. Sherwood Forest, haunt of legendary Robin Hood, is located north of Nottingham city. Farmland and dairies in Vales of Trent and Belvoir are famous for Stilton cheese; coal measures and small mining towns characterize the west. The main industrial town is Nottingham, an independent unitary authority since 1998.",ceremonial county of England,http://vocab.getty.edu/tgn/7008167,http://www.wikidata.org/entity/Q23092
20,,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,states,"Occupied by roving hunters by ca. 8000 BC, later was home to agrarian cultures; Algonquian-speakers, at war with Iroquois to N, lived here when Europeans settled in 17th cen.; fought in Revolution; state had split loyalties in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007516,http://www.wikidata.org/entity/Q1391
20,Italy,Umbria,Umbria,Umbria,Umbria,Umbrien,Ombrie,regions,"Was home of ancient Umbri tribes, who spoke an Indo-European dialect and were concentrated here to escape Etruscan and Gallic pressure during 1st mill. BCE; later held by Romans, Lombards and Byzantines; city-states developed; went to Papal States in the 16th century.",region of Italy,http://vocab.getty.edu/tgn/7003125,http://www.wikidata.org/entity/Q1280
19,England,Cheshire,Cheshire,,,,,counties,"Ceremonial county in northwestern England. Geologically comprises fragmented areas of clay, sand and gravel, dotted with rivers and small lakes. Site of ancient hill forts on mid-Cheshire ridge during Bronze and Iron Ages; famous for cheese and well-preserved half-timbered houses.","ceremonial county in England, United Kingdom",http://vocab.getty.edu/tgn/7008114,http://www.wikidata.org/entity/Q23064
