count,country,region,city,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes
2238,Italy,,Milan,Milano,Milan,,,,inhabited places,One of nation's richest cities; became the second city of the western Roman Empire after Rome; sacked by Attila the Hun in 452 and by Goths in 539; battled for autonomy with nearby cities 11th-12th centuries; controlled by Sforza family 15th century and by Spain 1540-1706; won independence from Austria in 1848; heavily bombed during World War II.,Italian commune and capital city of Lombardy,http://vocab.getty.edu/tgn/7005903,http://www.wikidata.org/entity/Q490,
1991,Spain,,Barcelona,Barcelona,,,,,inhabited places,Carthaginian settlement was taken by Romans; Visigoths then held the city until Moorish rule began in 8th century CE; Carolingian supremacy began in 801; powerful medieval counts controlled all of Catalonia and Aragon; was great commercial power.,"city in Catalonia, Spain",http://vocab.getty.edu/tgn/7007426,http://www.wikidata.org/entity/Q1492,
1951,Netherlands,,Amsterdam,Amsterdam,Amsterdam,,,,inhabited places,"Located on over 90 islands in the IJ arm of the IJsselmeer. Early inhabitants built dikes on both sides of the Amstel River to prevent flooding, and a dam was built between the dikes in 1270. Chartered in 1306. Became affluent in the15th century due to trade with Baltic seaports, and was the financial center of the world by 17th century. United Dutch East India Company was founded in 1602, followed by the West India Company in 1621. Capital of the Batavian Republic under Napoleon, later of the kingdom of Holland, and became part of the French Empire in 1810. Under German occupation from 1940-1945. Center of the world's diamond trade.",capital and most populous city of the Netherlands,http://vocab.getty.edu/tgn/7006952,http://www.wikidata.org/entity/Q727,
1922,Scotland,,Edinburgh,Edinburgh,Edinburgh,,,,inhabited places,Located on S shore of Firth of Forth; inhabited by Romans in 2nd century and Lothians in 6th century; divided into 12th-century Old Town and 18th-century New Town; became major textile and industrial center in 18th century; noted for Georgian architecture.,"capital city of Scotland, UK",http://vocab.getty.edu/tgn/7009546,http://www.wikidata.org/entity/Q23436,
1825,Germany,,Berlin,Berlin,Berlin,Berlino,Berlin,,inhabited places,"The city of Berlin, coextensive with the state of Berlin, lies on both sides of the Spree River in its wide glacial valley in the center of unified Germany. Comprises 12 bezirke (boroughs), each of which contains a number of localities that may have historic roots in older municipalities that predate the formation of Greater Berlin in 1920. The area was originally two Wendish villages, Kölln and Berlin, were founded there in the 13th century, merged in the 14th century, and was named Berlin by the Hohenzollerns. It was strategically located at the center of the canal system of the Oder and Spree Rivers. Severely damaged in World War II; after the war, was divided into four occupation zones, each governed by one of the Allies. The Soviet-ruled East Berlin, together with the rest of East Germany, and West Berlin, a western enclave within East Germany, were governed separately from 1949. A concrete wall physically divided the city in 1961. The Berlin Wall and the political separation of the two parts of the city ended in 1989 as the communist eastern government collapsed. In 1990 the united Berlin became once again the capital of a united Germany. The largest city in Germany, its 2011 estimated population was 3.5 million.","federated state, capital and largest city of Germany",http://vocab.getty.edu/tgn/7003712,http://www.wikidata.org/entity/Q64,
1731,Italy,,Venice,Venezia,Venice,Veneto,Venetien,Venise,inhabited places,"The islands of the Venetian lagoon were settled by refugees from Altino and Aquileia after the Lombard invasion of northern Italy in 568. The settlement expanded into the Adriatic and Aegean from the 11th century. It was ruled by Austria, then France, 1798-1848. It went to Italy in 1866 The entire city including the lagoon was named an UNESCO World Heritage Site in 1987.","capital city of Veneto, Italy",http://vocab.getty.edu/tgn/7018159,http://www.wikidata.org/entity/Q641,
1608,United States,Illinois,Chicago,Chicago,Chicago,,,,inhabited places,"Located on post-glacial plain beside Lake Michigan, noted for extremes in climate. Site was visited by the French in the 17th century; it was a fur-trading post, then an Army post. It expanded greatly in the 19th century due to its strategic position; was a center of transportation and industry. Much of the city was destroyed by fire in 1871, and rebuilt. It is noted as the birthplace of an important architectural development, the steel-frame skyscraper.","city and county seat of Cook County, Illinois, United States of America",http://vocab.getty.edu/tgn/7013596,http://www.wikidata.org/entity/Q1297,
1572,United States,Massachusetts,Cambridge,Newton,,,,,inhabited places,"Located N of Boston on Charles River; developed milling & forging industries 17th cen.; suburban growth expanded with Boston & Worcester railroad 1834; site of many schools, including, Boston College (1863) & Andover Newton Theological School (1808).",,http://vocab.getty.edu/tgn/2050214,,
1448,Belgium,,Brussels,Bruxelles,Brussels,,Brüssel,Bruxelles,inhabited places,"The city of Brussels is the capital of modern Belgium. The original village grew up around a chapel on an island in the Zenne River. By the 6th century, it found itself located on an important trade route, and became a flourishing commercial center specializing in woolens in the medieval period. The merchant aristocracy was forced to share power with the craftsmen after their revolt in 1421. It was ruled successively by the Duke of Burgundy, then the Holy Roman Empire. It was part of the Spanish Netherlands from 1530, then of modern Belgium from 1830. In the 20th and early 21st centuries, it produced textiles, chemicals, electrical equipment, machinery, rubber goods and brewed beverages. It has become something of an international capital since it became the headquarters of the European Union.",municipality and capital city of Belgium,http://vocab.getty.edu/tgn/7007868,http://www.wikidata.org/entity/Q239,
1421,Austria,,Vienna,Wien,Vienna,,Wien,Vienne,inhabited places,"Located on the Danube River, at a crossroads in the center of Europe. Formerly, Vienna was the capital of the Holy Roman Empire and of the Austro-Hungarian Empire. Originally a Celtic settlement, it became a Roman military settlement and was occupied by the Magyars in 907, then passed to the Babenburgs in 976. It became the capital of the duchy of Austria in 1156 and was occupied by Ottocar II of Bohemia from 1251 to 1276. It was unsuccessfully besieged by the Turks in 1529 and 1683. During the 18th century, Vienna was one of the great cultural centers in Europe, the home of Mozart, Beethoven, Haydn, and Schubert. The city was occupied by the French during the Napoleonic Wars, in 1805 and 1808 and from 1814 to 1815. It was annexed by Nazi Germany in 1938 and liberated by the Russians in 1945. The historic centre of Vienna was designated a World Heritage Site by UNESCO.",capital of and state in Austria,http://vocab.getty.edu/tgn/7003321,http://www.wikidata.org/entity/Q1741,
1160,United States,Connecticut,New Haven,New Haven,New Haven,,,,inhabited places,Located on Quinnipiac River in S central Connecticut; in 1643 merged with neighboring areas to form New Haven Colony; in 1664 merged with chartered Connecticut Colony; was co-capital with Hartford 1701-1875; sided with British during American Revolution.,"city in Connecticut, United States",http://vocab.getty.edu/tgn/7014210,http://www.wikidata.org/entity/Q49145,
1076,England,,Oxford,Oxford,Oxford,,,,inhabited places,"City allegedly founded as a nunnery by Frideswide (died 735). Famous for the 12th-century Oxford University, the country's oldest; the first college, University College, dates from 1249. Oxford was first mentioned as a town in a Saxon chronicle dated 912. Headquarters of the Royalists during the 17th-century English Civil War. A center for auto production since 1918; noted for important sytems of canals and railways.","city in Oxfordshire, England",http://vocab.getty.edu/tgn/7011931,http://www.wikidata.org/entity/Q34217,
984,Italy,,Bologna,Bologna,Bologna,,,,inhabited places,"Etruscan town was taken by Gallic Boii 4th century BCE; was Roman colony ca. 196 BCE; part of Greek exarchate of Ravenna 6th century CE, then went to pope; damaged in Goth and Hun invasions. There was internal Guelph-Ghibelline strife and a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo). Bologna thrived under Papal States from 1506.","city and commune in Emilia-Romagna, Italy",http://vocab.getty.edu/tgn/7004847,http://www.wikidata.org/entity/Q1891,
960,Italy,,Siena,Siena,Siena,Siena,Siena,Siena,inhabited places,"Siena was founded as an Etruscan hill town, possibly by the Saina tribe; later it was the Roman city of Sena Julia (3rd century BCE). It flourished under the Lombard kings (6th century CE) and was a Medieval self-governing commune (constitution dates to 1179). Siena was a Medieval seat of pro-imperial Ghibelline power and was an economic and territorial rival of Guelf (anti-imperial) Florence. The population was ravaged by the Black Death (bubonic plague) in 1348. Siena was ruled by Charles of Anjou in the 13th century, the Visconti of Milan in the early 15th century, and the Medici of Florence after 1557. Historic core named an UNESCO World Heritage Site in 1995.","city in Tuscany, Italy and capital of the province of Siena",http://vocab.getty.edu/tgn/7011179,http://www.wikidata.org/entity/Q2751,
942,United States,Michigan,Detroit,Detroit,Detroit,,,,inhabited places,Located on Detroit river; French established fort & fur-trading post here in 1701; captured by British in French and Indian Wars in 1760; passed to US in 1796; destroyed by fire in 1805; city was rebuilt and flourished after introduction of steamboats.,"city in and county seat of Wayne County, State of Michigan, United States",http://vocab.getty.edu/tgn/7013547,http://www.wikidata.org/entity/Q12439,
902,France,,Bayonne,Bayonne,Bayonne,,,,inhabited places,French since 1451; meeting place of Catherine de Médicis & duke of Alva 1565; noted for manufacture of cutlery & armaments 16th & 17th cen.; place of bayonet invention; meeting place that led to abdication of Spanish monarchs in favor of Napoleon.,"commune in Pyrénées-Atlantiques, France",http://vocab.getty.edu/tgn/7008192,http://www.wikidata.org/entity/Q134674,
872,United States,New Jersey,Princeton,Princeton,Princeton,,,,inhabited places,"Located on Millstone River, NE of Trenton; was founded near plantation established in 1681 by Captain Henry Greenland; thrived due to location along Philadelphia-New York stagecoach route & relocation of College of New Jersey here.","municipality in Mercer County, New Jersey, United States",http://vocab.getty.edu/tgn/7016190,http://www.wikidata.org/entity/Q138518,
799,United States,Ohio,Cleveland,Cleveland,Cleveland,,,,inhabited places,"Located on Lake Erie at mouth of Cuyahoga River; city was laid out by surveyors from Connecticut; developed after New York State opened Erie Canal in 1825, when Ohio constructed canal to join the lake and Ohio River; industry grew after Civil War.","city in and county seat of Cuyahoga County, Ohio, United States",http://vocab.getty.edu/tgn/7013608,http://www.wikidata.org/entity/Q37320,
794,United States,South Carolina,Charleston,Charleston,,,,,inhabited places,Located in SE S Carolina on Atlantic Ocean; resisted British from 1776 but was occupied 1780-1782; center of wealth and culture in South; led resistance to Union culminating in secession proclamation (1860); Civil War started here; was besieged 1863-1865.,largest city in the U.S. state of South Carolina,http://vocab.getty.edu/tgn/7013582,http://www.wikidata.org/entity/Q47716,
783,Sweden,,Stockholm,Stockholm,Stockholm,,,,inhabited places,"Built upon numerous islands as well as on the mainland, primarily by the Swedish ruler Birger Jarl in 13th cen.; rapidly developed as member of Hanseatic League; extensively rebuilt in 1634; destroyed by fires & rebuilt in 18th cen., expanded in 19th cen.",capital and largest city of Sweden,http://vocab.getty.edu/tgn/7009861,http://www.wikidata.org/entity/Q1754,
780,United States,California,Los Angeles,Los Angeles,Los Angeles,,,,inhabited places,"State's largest city; expanded rapidly during late 19th and early 20th century due to cattle ranching, railroads and motion-picture industry; has suffered several earthquakes, droughts and air pollution; site of many museums, universities and wealthy communities.","largest city in California, United States",http://vocab.getty.edu/tgn/7023900,http://www.wikidata.org/entity/Q65,
761,United States,Pennsylvania,Pittsburgh,Pittsburgh,Pittsburgh,,,,inhabited places,"Located at strategic point, at the confluence of Allegheny & Monongahela rivers, forming the Ohio river. It is in an area of valuable natural resources; it was contested by French, British, and Native Americans in the 17th cen. The city of Pittsburgh was laid out in1764 by John Campbell in the area around the fort (now the Golden Triangle). Following the American Revolution, the town became an outfitting point for settlers traveling westward down the Ohio River. It developed as a steel manufacturing center in the 19th century; there has been urban renewal since World War II.","city and county seat in Allegheny County, Pennsylvania, United States",http://vocab.getty.edu/tgn/7013927,http://www.wikidata.org/entity/Q1342,
717,United States,Virginia,Richmond,Richmond,,,,,independent cities,,"capital city of Virginia, United States of America",http://vocab.getty.edu/tgn/7022211,http://www.wikidata.org/entity/Q43421,
713,Italy,,Naples,Napoli,Naples,,,,inhabited places,"Founded as Parthenope by Greek refugees from Cumae in the 8th century BCE; the site eventually gave rise to Neapolis in the 6th century BCE and was one of the most prominent cities of Magna Graecia; conquered by Romans 4th cen. BCE; part of kingdoms of Ostrogoths, Byzantines & Muslims; went to Kingdom of Two Sicilies, then to popes, and back to Sicily; damaged in WW II, and by earthquake in 1980; historic core named UNESCO World Heritage Site in 1995.","city and commune in Campania, Italy",http://vocab.getty.edu/tgn/7004474,http://www.wikidata.org/entity/Q2634,
703,Germany,,Munich,München,Munich,Monaco di Baviera,München,,inhabited places,"Capital of Bavaria and the third-largest city in Germany; situated on both sides of the Isar River, north of the Alps. Henry the Lion, duke of Bavaria, established Munich in 1157 as a mint and market for Benedictine monks from Tegernsee. It suffered declined during the 17th century under the Swedish occupation and the plague epidemic of the Thirty Years' War. It revived under the Bavarian king Ludwig I, whose building and urban planning activities defined the character that the city has today. The city witnessed the rise to power of the Nazi party in the 1920s and 1930s, and was heavily damaged in World War II, when Allied bombing destroyed about 40% of its buildings. Still, a great deal of historic architecture survives, much of its rebuilt or restored, including the church the Frauenkirche, built 1468-1488. The city boasts seven old city gates, and many fine building built in the 19th century under Ludwig I. Munich is an active cultural center for the whole of Europe, with many libraries, theaters, museums, art galleries, and concert venues. It has several of the largest breweries in Germany and is renowned for its annual Oktoberfest celebrations. Light industry and tourism are major economic activities. The 2004 estimated population was 1,241,100.","capital and most populous city of Bavaria, Germany",http://vocab.getty.edu/tgn/7004333,http://www.wikidata.org/entity/Q1726,
693,United States,Connecticut,Hartford,Hartford,,,,,inhabited places,Located in N central Connecticut; formed Connecticut Colony in 1639 & accepted 1st written constitution in America (Fundamental Orders); given royal charter in 1662; governor Andros made unsuccessful attempt to seize state in 1687.,"city in and capital of Connecticut, United States",http://vocab.getty.edu/tgn/7013695,http://www.wikidata.org/entity/Q33486,
668,France,,Besançon,Besançon,Besancon,,,,inhabited places,"Taken by Julius Caesar in 58 BCE; Roman ruins here include an arch of Marcus Aurelius, aqueduct, and amphitheater. It became a free imperial city  in 1184; French since 1674. Besançon was fortified by the engineer Vauban in the 17th century. It is a center for the watch and clock industries.","commune in Doubs, France",http://vocab.getty.edu/tgn/7008356,http://www.wikidata.org/entity/Q37776,
666,Netherlands,,Rotterdam,Rotterdam,Rotterdam,,,,inhabited places,"Established on a plot of reclaimed land, created by draining the mouth of the Rotte river in 1283. Developed as a fishing village in the 13th century. Canal to the Schie was dug in 1340s and it became major port of province. A sea route to Indies encouraged commerce in 17th century. Town center was completely destroyed by bombs on May 14 1940.","city in South Holland, the Netherlands",http://vocab.getty.edu/tgn/7006792,http://www.wikidata.org/entity/Q34370,
657,United States,New York,Brooklyn,Brooklyn,,,,,inhabited places,,,http://vocab.getty.edu/tgn/2068222,,
632,England,,Windsor,Windsor,Windsor,,,,inhabited places,A nearby prehistoric site was occupied by the Romans and the Saxons; dominated by William I's moated castle; a royal residence since the 11th century; the Long Walk in Windsor Great Park was created by Charles II; Eton College is across the River Thames.,,http://vocab.getty.edu/tgn/7011919,,
624,United States,Ohio,Cincinnati,Cincinnati,Cincinnati,,,,inhabited places,"Located at influx of Great Miami and Little Miami Rivers into Ohio River; settled by Moundbuilders; settled by Europeans in 18th century, site of battles with Amerindians; was on Mason-Dixon Line and culturally tied to South, but sided with North in Civil War.","city in Ohio, United States; county seat of Hamilton County",http://vocab.getty.edu/tgn/7013604,http://www.wikidata.org/entity/Q43196,
616,Spain,,Seville,Sevilla,Seville,,,,inhabited places,"Important cultural center during rule of 'Abbādid dynasty & later Almoravid and Almohad confederations; prospered after Spanish Christians under Ferdinand III expelled Muslims in 1248; Velásquez, Zurbarán & Murillo painted in Sevilla during the 17th century.","municipality of Andalusia, Spain",http://vocab.getty.edu/tgn/7008676,http://www.wikidata.org/entity/Q8717,
611,Spain,,Valencia,Valencia,,,,,inhabited places,"Captured by Visigoths in 413 & by Moors in 714; seat of independent Moorish kingdom of Valencia 1021; kingdom captured from Moorish Almoravids by El Cid, who held it until his death in 1099; kingdom & city retaken by Moors 1102; united with Castile 1479.","municipality in Spain, capital city of the Valencian Community",http://vocab.getty.edu/tgn/7008769,http://www.wikidata.org/entity/Q8818,
598,United States,Massachusetts,Worcester,Worcester,,,,,inhabited places,"Located W of Boston; industries include machine tools, leather goods & textiles; institutes include College of the Holy Cross (1843), Massachusetts State College (1871) & Clark University (1887).","county seat city in Worcester County, Massachusetts, United States",http://vocab.getty.edu/tgn/7014647,http://www.wikidata.org/entity/Q49179,
594,Hungary,,Budapest,Budapest,,,,,special cities,Has the administrative status of a capital city.,capital and largest city of Hungary,http://vocab.getty.edu/tgn/7017994,http://www.wikidata.org/entity/Q1781,
593,England,,Cambridge,Cambridge,Cambridge,,,,inhabited places,"Located on the rivers Cam and Granta; site of prehistoric and Roman remains; oldest college is Peterhouse (founded 1284); was confirmed a university city by Pope John XXII in 1384; visited by Erasmus in 1510; site of Holy Sepulchre Church, famed for its circular plan; the Fitzwilliam Museum is here.","city in Cambridgeshire, England",http://vocab.getty.edu/tgn/7010874,http://www.wikidata.org/entity/Q350,
589,Netherlands,,The Hague,s-Gravenhage,"Hague, The",,,,inhabited places,"Originally located in woodland called Haghe (""hedge""), town grew around residence of counts of Holland. In 1248, Wilhelm II built a castle, which his successors have expanded into the present-day buildings. Grew economically in the late 14th century when the judiciary moved from Holland and Zeeland to the Hague and later it became the seat of the stadholders and the government under Maurice of Orange (1567-1625). At the turn of the 19th century, it became an important conference center and headquarters for many institutions, most notably the International Court of Justice of the United Nations.","city and municipality in the Netherlands, seat of the Dutch government",http://vocab.getty.edu/tgn/7006810,http://www.wikidata.org/entity/Q36600,
547,United States,California,San Francisco,San Francisco,San Francisco,,,,inhabited places,"Located on peninsula between San Francisco Bay and Pacific ocean; was site of mission and fort, then village of Yerba Buena; under Mexican control after 1821; captured by US in 1846; destroyed by earthquake & fires in 1906; important port during WW II.","consolidated city and county in California, United States",http://vocab.getty.edu/tgn/7014456,http://www.wikidata.org/entity/Q62,
545,Denmark,,Copenhagen,København,Copenhagen,,Kopenhagen,Copenhague,inhabited places,"The city of Copenhagen is the capital and the largest city in Denmark. It is situated on the islands of Zealand and Amager on the Øresund sound. Its development began around the 10th century when a small fishing village was founded on the site of the modern city. In 1167 ramparts and a moat were built there, with a castle on a small islet off the coast. It became the capital of the kingdom of Denmark and the royal residence in 1445. During the strife of the Protestant Reformation the town was often sacked, was twice destroyed by the Hanseatic League. In the late 16th century, the city's trade began to prosper and the city extended its boundaries. It was besieged by Sweden, 1658-1660, and bombarded by the British in 1801 and 1807. Its ramparts were torn down in 1856 and the city continued to grow, reaching out to incorporate many nearby towns. It was occupied by Germany from 1940 to 1945. Despite the sackings and two major fires in the 18th century, much remains of the city's historic architecture, a lot of it now converted to administrative and academic use. In the King's New Square, laid out in the 17th century, are the Thott Palace, now the French Embassy, and the Charlottenberg Palace, now the Royal Academy of Fine Art. Christiansborg Palace on the islet of Slotsholmen, built on the ruins of the castle built there in 1167, now houses the Danish Parliament, Supreme Court, and Foreign Office. Other notable structures include the Petri Church, which after 1585 became the parish church for the German residents, the 17th-century citadel, and the University of Copenhagen, founded in 1479. The city has been a center of commerce and shipping since medieval times, and is now also an industrial center with shipbuilding, brewing, canning, and machinery manufacture being major activities. For institutions of higher learning, besides the University of Copenhagen, are the Royal Academy of Music (1867), the Technical University of Denmark (1829), the Engineering Academy of Denmark (1957), and the Copenhagen School of Economics and Business Administration (1917). The 2004 population estimate was 619,900.",capital and largest city of Denmark,http://vocab.getty.edu/tgn/7003474,http://www.wikidata.org/entity/Q1748,
543,Germany,,Hamburg,Hamburg,,,Hamburg,Hambourg,inhabited places,"The northern German city of Hamburg is located on Elbe River, which connects it to the North Sea. It is one of Europe's busiest ports and Germany's largest port and commercial and industrial city. The site was first used for a fortress against the Slavs built by Charlemagne in 825. With Lübeck, it formed the Hanseatic League in 1241, and grew steadily over the next several centuries as a trade center. It accepted the Reformation in 1529 and became Protestant. Hamburg went its own way as the Hanseatic League gradually faded from existence; a stock exchange was founded there in 1558 and the bank of Hamburg was established in 1619. Napoleon I annexed it to the French Empire in 1810, and after his fall it joined the German Confederation, all the while retaining its traditional self-government to a large degree. The city was devastated by fire in 1842, but was rebuilt. It suffered terrible destruction by bombing in World War II, but its value as a port soon lead to its restoration and the resumption of its busy economic life. It is cosmopolitan in character with fine art collections in its museums, a world famous opera and two symphony orchestras, and a famous red-light district where prostitution is legal. The 2004 estimated population was 1,731,200.",city and state in the North of Germany,http://vocab.getty.edu/tgn/7005289,http://www.wikidata.org/entity/Q1055,
539,Italy,,Bergamo,Bergamo,,,,,inhabited places,"Located in southern foothills of the Alps; sacked by Attila the Hun in the 5th century; rebuilt and became seat of Lombard duchy 1296; passed to Venice 1428-1797, to Austria in 1815, and  part of Italian kingdom 1859; site of Romanesque Cathedral begun in 1137 and Cappella Colleoni (1470-1476). The city today (population ca. 125,000) is divided into two parts: upper Bergamo (città alta) and lower Bergamo (città bassa), the modern city; the upper part crowns a steep hill and retains its circuit of 16th-century walls.","comune in Lombardy, Italy",http://vocab.getty.edu/tgn/7005025,http://www.wikidata.org/entity/Q628,
529,England,,Eton,Eton,Eton,,,,inhabited places,"Famous for its public school of the same name, founded in 1440 by Henry VI.","Town in Berkshire, England",http://vocab.getty.edu/tgn/7011916,http://www.wikidata.org/entity/Q617407,
494,Italy,,Padua,Padova,Padua,Padova,,,inhabited places,"Formerly located near a mouth of the Po river, which was called ""Padus"" in Latin, and from which the name of the city is derived. Settlement on the site dates to at least the 10th century BCE. According to legend, it was founded by the Trojan hero Antenor; was birthplace of Roman historian Livy (59 BCE); was a leading commune 11th-13th cen.; was ruled by Venice 1405-1797; was under Austrian rule 1815-1866. The city was active in the Risorgimento. It is noted for many famous architectural sites.","commune and capital city of the Province of Padua, Veneto, Italy",http://vocab.getty.edu/tgn/7003085,http://www.wikidata.org/entity/Q617,
485,United States,Minnesota,Minneapolis,Minneapolis,Minneapolis,,,,inhabited places,"Located on Mississippi River's Falls of St. Anthony in SE central Minnesota; ""Twin Cities"" with St. Paul as region's largest economic center; named for Dakota Sioux word ""minne"" (water) & Greek ""polis"" (city); site visited by Father Hennepin in 1680.","city in and county seat of Hennepin County, Minnesota, United States",http://vocab.getty.edu/tgn/7014080,http://www.wikidata.org/entity/Q36091,
463,Italy,,Genoa,Genova,Genoa,,,Gênes,inhabited places,"Nation's most important seaport; destroyed by Carthage 205 BCE and rebuilt by Romans; controlled successively by France, Milan, Austria, and Sardinia; ceded to unified Italy 1861; birthplace of Christopher Columbus (1447) and composer Niccolò Paganini (1784).",Italian city,http://vocab.getty.edu/tgn/7008546,http://www.wikidata.org/entity/Q1449,
448,France,,Versailles,Versailles,,,,,inhabited places,Built by French kings on site of Louis XIII's hunting lodge; seat of court of Louis XIV who built large palace; meeting place of States-General in 1783; scene of several treaty signings; German headquarters 1870-1871; seat of French government 1871-1879.,"French city and commune in Yvelines, in Île-de-France",http://vocab.getty.edu/tgn/7008070,http://www.wikidata.org/entity/Q621,
439,United States,Ohio,Toledo,Toledo,Toledo,,,,inhabited places,"Located at mouth of Maumee River on Lake Erie; settled after Battle of Fallen Timbers and Amerindian treaties (1795-1817); included in Ohio canal system, causing boundary dispute with Michigan; grew with arrival of canal, railroad & discovery of oil & gas.",,http://vocab.getty.edu/tgn/7014378,,
430,Canada,Ontario,Ottawa,Ottawa,Ottawa,,,,inhabited places,"Located in SE Ontario at junction of Ottawa, Gatineau & Rideau rivers; site was visited by French explorer Samuel de Champlain in 1613; products include lumber, cement, household appliances and furniture; site of many notable public structures.",capital city of Canada,http://vocab.getty.edu/tgn/7013088,http://www.wikidata.org/entity/Q1930,
