count,country,region,district,city,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes
1533,Italia,Toscana,Siena,Siena,Siena,Siena,Siena,Siena,Siena,inhabited places,"Siena was founded as an Etruscan hill town, possibly by the Saina tribe; later it was the Roman city of Sena Julia (3rd century BCE). It flourished under the Lombard kings (6th century CE) and was a Medieval self-governing commune (constitution dates to 1179). Siena was a Medieval seat of pro-imperial Ghibelline power and was an economic and territorial rival of Guelf (anti-imperial) Florence. The population was ravaged by the Black Death (bubonic plague) in 1348. Siena was ruled by Charles of Anjou in the 13th century, the Visconti of Milan in the early 15th century, and the Medici of Florence after 1557. Historic core named an UNESCO World Heritage Site in 1995.","city in Tuscany, Italy and capital of the province of Siena",http://vocab.getty.edu/tgn/7011179,http://www.wikidata.org/entity/Q2751,
1421,Stati Uniti d'America,District of Columbia,,Washington (DC),Washington,Washington,,,,inhabited places,"Coextensive with District of Columbia; located on swampy ground at navigational head of Potomac River; site was selected by 1st US president George Washington; city plan was laid out by French engineer Charles L'Enfant; burned in War of 1812, but rebuilt.",capital city of the United States of America,http://vocab.getty.edu/tgn/7013962,http://www.wikidata.org/entity/Q61,
1177,Germania,,,Berlino,Berlin,Berlin,Berlino,Berlin,,inhabited places,"The city of Berlin, coextensive with the state of Berlin, lies on both sides of the Spree River in its wide glacial valley in the center of unified Germany. Comprises 12 bezirke (boroughs), each of which contains a number of localities that may have historic roots in older municipalities that predate the formation of Greater Berlin in 1920. The area was originally two Wendish villages, Kölln and Berlin, were founded there in the 13th century, merged in the 14th century, and was named Berlin by the Hohenzollerns. It was strategically located at the center of the canal system of the Oder and Spree Rivers. Severely damaged in World War II; after the war, was divided into four occupation zones, each governed by one of the Allies. The Soviet-ruled East Berlin, together with the rest of East Germany, and West Berlin, a western enclave within East Germany, were governed separately from 1949. A concrete wall physically divided the city in 1961. The Berlin Wall and the political separation of the two parts of the city ended in 1989 as the communist eastern government collapsed. In 1990 the united Berlin became once again the capital of a united Germany. The largest city in Germany, its 2011 estimated population was 3.5 million.","federated state, capital and largest city of Germany",http://vocab.getty.edu/tgn/7003712,http://www.wikidata.org/entity/Q64,
1113,Austria,,,Vienna,Wien,Vienna,,Wien,Vienne,inhabited places,"Located on the Danube River, at a crossroads in the center of Europe. Formerly, Vienna was the capital of the Holy Roman Empire and of the Austro-Hungarian Empire. Originally a Celtic settlement, it became a Roman military settlement and was occupied by the Magyars in 907, then passed to the Babenburgs in 976. It became the capital of the duchy of Austria in 1156 and was occupied by Ottocar II of Bohemia from 1251 to 1276. It was unsuccessfully besieged by the Turks in 1529 and 1683. During the 18th century, Vienna was one of the great cultural centers in Europe, the home of Mozart, Beethoven, Haydn, and Schubert. The city was occupied by the French during the Napoleonic Wars, in 1805 and 1808 and from 1814 to 1815. It was annexed by Nazi Germany in 1938 and liberated by the Russians in 1945. The historic centre of Vienna was designated a World Heritage Site by UNESCO.",capital of and state in Austria,http://vocab.getty.edu/tgn/7003321,http://www.wikidata.org/entity/Q1741,
1068,Italia,Piemonte,Torino,Torino,Torino,Turin,,,,inhabited places,"Located on Po river near junction with other rivers; Taurini town was partly destroyed by Hannibal 218 BCE; was important Roman military town; part of Lombard kingdom, then of Frankish empire; ruled by Savoy from the 11th century and held by the French in the 16th and 19th centuries.",city and commune in Italy,http://vocab.getty.edu/tgn/7005688,http://www.wikidata.org/entity/Q495,
1049,Italia,Liguria,Genova,Genova,Genova,Genoa,,,Gênes,inhabited places,"Nation's most important seaport; destroyed by Carthage 205 BCE and rebuilt by Romans; controlled successively by France, Milan, Austria, and Sardinia; ceded to unified Italy 1861; birthplace of Christopher Columbus (1447) and composer Niccolò Paganini (1784).",Italian city,http://vocab.getty.edu/tgn/7008546,http://www.wikidata.org/entity/Q1449,
917,Italia,Umbria,Perugia,Perugia,Perugia,Perugia,,,Pérouse,inhabited places,"Ancient hill town; was home to Umbrians, and one of 12 cities of ancient Etruria; passed to Rome in 310 BCE, to Lombards in 592 CE; generally Guelph in Guelph/Ghibelline wars with neighboring towns; torn by internal strife in the 15th century; came under control of papacy in 1540.",Italian comune,http://vocab.getty.edu/tgn/7000526,http://www.wikidata.org/entity/Q3437,
910,Città del Vaticano,,,Città del Vaticano,,,,,,,,,,,
808,Italia,Veneto,Verona,Verona,Verona,Verona,,,,inhabited places,Founded by Euganei or Raeti; was Roman colony; occupied by Ostrogoths under Theoderic 489; captured by Charlemagne 774; independent commune from 12th cen.; held by Venice 1405-1797; ceded to Austria by Napoleon; united to Kingdom of Italy 1866.,"city in Veneto, northern Italy",http://vocab.getty.edu/tgn/7003262,http://www.wikidata.org/entity/Q2028,
797,Regno Unito/ Stati Uniti d'America/ Francia,,,Londra/ New York (NY)/ Parigi,,,,,,,,,,,
726,Stati Uniti d'America,Pennsylvania,,Philadelphia (PA),Philadelphia,Philadelphia,,,,inhabited places,Located at confluence of Delaware and Schuylkill rivers; Quaker town was founded by W Penn; was thriving colonial center & active in American Revolution; later lost political and financial prestige to Washington & New York; was a strong anti-slavery power.,"largest city in Pennsylvania, United States",http://vocab.getty.edu/tgn/7014406,http://www.wikidata.org/entity/Q1345,
721,Italia,Umbria,Perugia,Assisi,Assisi,,,,,inhabited places,"Located on spur of Monte Subasio; was home to Umbrians (an Italic tribe) & Etruscans; later settled by Romans; site of feud of Dukes of Spoleto in Middle Ages; was independent commune in 12th cen., later part of the Papal States. Noted for large church and relics of St. Francis of Assisi. Was named UNESCO World Heritage Site in 2000. ",,http://vocab.getty.edu/tgn/7005119,,
676,Germania,,,Monaco di Baviera,München,Munich,Monaco di Baviera,München,,inhabited places,"Capital of Bavaria and the third-largest city in Germany; situated on both sides of the Isar River, north of the Alps. Henry the Lion, duke of Bavaria, established Munich in 1157 as a mint and market for Benedictine monks from Tegernsee. It suffered declined during the 17th century under the Swedish occupation and the plague epidemic of the Thirty Years' War. It revived under the Bavarian king Ludwig I, whose building and urban planning activities defined the character that the city has today. The city witnessed the rise to power of the Nazi party in the 1920s and 1930s, and was heavily damaged in World War II, when Allied bombing destroyed about 40% of its buildings. Still, a great deal of historic architecture survives, much of its rebuilt or restored, including the church the Frauenkirche, built 1468-1488. The city boasts seven old city gates, and many fine building built in the 19th century under Ludwig I. Munich is an active cultural center for the whole of Europe, with many libraries, theaters, museums, art galleries, and concert venues. It has several of the largest breweries in Germany and is renowned for its annual Oktoberfest celebrations. Light industry and tourism are major economic activities. The 2004 estimated population was 1,241,100.","capital and most populous city of Bavaria, Germany",http://vocab.getty.edu/tgn/7004333,http://www.wikidata.org/entity/Q1726,
666,Italia,Emilia Romagna,Ferrara,Ferrara,Ferrara,Ferrara,,,,inhabited places,"Located on a branch of the Po river. It was captured from the exarchate of Ravenna by the Lombards in 753. It went to the papacy in 774 and became independent in the 10th century. It suffered internal strife between rival families in the 12th century. It was held by House of Este 1240-1598, then by the Pope. Some important architecture was damaged in WW II; named as part of an UNESCO World Heritage site with the Po Delta.","comune in Emilia-Romagna, Italy",http://vocab.getty.edu/tgn/7004264,http://www.wikidata.org/entity/Q13362,
645,Italia,Toscana,Pisa,Pisa,Pisa,Pisa,Pisa,,,inhabited places,"Located on Arno river, six miles from Ligurian sea, it was developed as Roman naval base. It became a leading medieval city-state and maritime power; made commercial contacts in Syria during the 11th-century Crusades. Pisa was a Ghibelline stronghold; a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo). Pisa was held by Florence from the 15th century.","city in Tuscany, Central Italy",http://vocab.getty.edu/tgn/7006082,http://www.wikidata.org/entity/Q13375,
602,Stati Uniti d'America,Maryland,,Baltimora (MD),Baltimore,Baltimore,,,,inhabited places,"Located at the head of Patapsco river estuary above Chesapeake Bay; settlement founded as outlet for local tobacco, developed as producer of clipper ships in 18th century; many citizens had Southern sympathies in Civil War, though state was pro-Union.","city in Maryland, United States",http://vocab.getty.edu/tgn/7013352,http://www.wikidata.org/entity/Q5092,
553,Italia,Veneto,Padova,Padova,Padova,Padua,Padova,,,inhabited places,"Formerly located near a mouth of the Po river, which was called ""Padus"" in Latin, and from which the name of the city is derived. Settlement on the site dates to at least the 10th century BCE. According to legend, it was founded by the Trojan hero Antenor; was birthplace of Roman historian Livy (59 BCE); was a leading commune 11th-13th cen.; was ruled by Venice 1405-1797; was under Austrian rule 1815-1866. The city was active in the Risorgimento. It is noted for many famous architectural sites.","commune and capital city of the Province of Padua, Veneto, Italy",http://vocab.getty.edu/tgn/7003085,http://www.wikidata.org/entity/Q617,
438,Italia,Toscana,FI,Firenze,Firenze,Florence,Firenze,Florenz,Florence,inhabited places,"Etruscan settlment was nearby at Fiesole. The original settlement at the site of modern Florence was established by Julius Caesar in 59 BCE as a settlement for his veteran soldiers; originally called ""Fluentia,"" at the head of navigation on the Arno river and on the Casian Way. It escaped capture by the Goths in the 5th century, and by the 12th century was a thriving center. It was torn apart in Medieval times by the violent Guelph/Ghibelline rivalry: a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and its allies (Montepulciano, Bologna, and Orvieto) and its Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo).  Florence came under the ostensible (later actual) rule of the  Medici family from 1434; historic core named UNESCO World Heritage Site in 1982.","Italian city and commune, located in Tuscany",http://vocab.getty.edu/tgn/7000457,http://www.wikidata.org/entity/Q2044,
411,Italia,Marche,Pesaro e Urbino,Pesaro,Pesaro,Pesaro,,,,inhabited places,"Located on Adriatic Sea at Foglia river; was city-fortress during Roman Empire; destroyed by Ostrogoths in 536 CE; under Malatesta family from 1285, Sforza from 1445, della Rovere from 1512; part of Papal States from 1631.",town and comune in the Italian region of the Marche,http://vocab.getty.edu/tgn/7003991,http://www.wikidata.org/entity/Q13134,
405,Italia,Emilia Romagna,Modena,Modena,Modena,Modena,Modena,,,inhabited places,"Under Etruscan & Boian rule until passing to Rome ca. 218 BCE; important center along ancient Via Aemilia until 4th cen. CE; sacked by Huns, then Lombards; restored by bishop in 9th cen.; torn by Guelph-Ghibelline strife; ruled by House of Este from 1288.",Italian city and municipality,http://vocab.getty.edu/tgn/7009565,http://www.wikidata.org/entity/Q279,
388,Paesi Bassi,,,Amsterdam,Amsterdam,Amsterdam,,,,inhabited places,"Located on over 90 islands in the IJ arm of the IJsselmeer. Early inhabitants built dikes on both sides of the Amstel River to prevent flooding, and a dam was built between the dikes in 1270. Chartered in 1306. Became affluent in the15th century due to trade with Baltic seaports, and was the financial center of the world by 17th century. United Dutch East India Company was founded in 1602, followed by the West India Company in 1621. Capital of the Batavian Republic under Napoleon, later of the kingdom of Holland, and became part of the French Empire in 1810. Under German occupation from 1940-1945. Center of the world's diamond trade.",capital and most populous city of the Netherlands,http://vocab.getty.edu/tgn/7006952,http://www.wikidata.org/entity/Q727,
374,Italia,Emilia Romagna,Parma,Parma,Parma,,,,,inhabited places,Flourished as Roman center along Via Aemelia; was an early seat of bishop; destroyed by Ostrogoth king Theoderic; ruled by bishops from 9th cen.; torn by Guelph-Ghibelline strife 14th cen.; part of duchy of Parma & Piacenza from 1545; damaged in WW II.,city in the northern Italian region of Emilia-Romagna,http://vocab.getty.edu/tgn/7004942,http://www.wikidata.org/entity/Q2683,
359,Italia,,,Firenze/ Roma,,,,,,,,,,,
357,Italia,Toscana,Prato,Prato,Prato,,,,,inhabited places,Located on Bisenzio river NW of Florence; by Middle Ages was a famous commercial center; was an independent commune by 11th cen.; taken by Florence in 1350; was sacked by Spanish in 1512 during campaign to restore Medici of Florence.,Italian comune,http://vocab.getty.edu/tgn/7006161,http://www.wikidata.org/entity/Q13377,
352,Italia,Lombardia,Brescia,Brescia,Brescia,Brescia,,,,inhabited places,"In Alpine foothills; sacked by Attila the Hun 452; taken by rival Italian families 10th-14th cen.; wealthy in 16th cen. until sacked by French 1516; taken by Napoleon 1796; passed to Austria 1815, Sardinia 1859 & to nation 1860; site of many Roman ruins.",Italian city in Lombardy,http://vocab.getty.edu/tgn/7005764,http://www.wikidata.org/entity/Q6221,
346,Italia,Toscana,Lucca,Lucca,Lucca,,Lucca,,Lucques,inhabited places,"Located in Serchio river valley, near the Ligurian Sea. Was settled by Ligurians and was later an Etruscan center; Romans probably established colony here in 180 BCE. It was ruled by Goths from CE 476, Byzantines, Lombards & Franks from 774. Lucca was an independent republic from 1118 until Napoleon I made it a principality in 1805. In 1817 it became part of the duchy of Parma and in 1847 part of the grand duchy of Tuscany. Lucca was annexed to the kingdom of Sardinia in 1860.","city and comune in Tuscany, Central Italy",http://vocab.getty.edu/tgn/7006076,http://www.wikidata.org/entity/Q13373,
333,Italia,Veneto,Treviso,Treviso,Treviso,,,,,inhabited places,"A Celtic & Roman town; center of Lombard duchy; site of important mint during Charlemagne's time; independent from 1020; under the Ghibelline leader Ezzelino da Romano 1237-1259; passed to Venice 1339, to French 1790s, to Austria 1815, to Italy 1866.","comune in Veneto, Italy",http://vocab.getty.edu/tgn/7003297,http://www.wikidata.org/entity/Q5475,
324,Spagna,,,Madrid,Madrid,,,,,inhabited places,"Was Moorish fortress; taken by Ramiro II of León in 932 CE; captured again from Moors by Alfonso VI of Castile in 1083; rapid expansion under Bourbon kings, particularly Charles III in 18th cen.; under French occupation during Peninsular War 1808-1812.",capital of Spain,http://vocab.getty.edu/tgn/7010413,http://www.wikidata.org/entity/Q2807,
320,Ungheria,,,Budapest,Budapest,,,,,special cities,Has the administrative status of a capital city.,capital and largest city of Hungary,http://vocab.getty.edu/tgn/7017994,http://www.wikidata.org/entity/Q1781,
312,Italia,Emilia Romagna,Forlì - Cesena,Forlì,Forlì,,,,,inhabited places,"Located on Montone river; was a trading center on ancient Via Aemelia; allied with Ravenna in 12th cen.; seat of imperial count, was embroiled in medieval Guelph-Ghibelline conflicts; held by Ordelaffi family from 1315; annexed to Papal States in 1504.",,http://vocab.getty.edu/tgn/7004912,,
309,Italia,Umbria,Perugia,Foligno,Foligno,,,,,inhabited places,"Located at strategic pass between Umbrian plain & Adriatic coast; home to Umbrians, then Romans; streets still reflect Roman regular plan; was powerful medieval rival of Perugia; prospered under Trinci family in 15th cen.; bombed in WW II.",,http://vocab.getty.edu/tgn/7005040,,
306,Stati Uniti d'America,Massachusetts,,Boston (MA),Boston,Boston,,,,inhabited places,"Located on Charles river; site of key pre-Revolutionary War events, Boston Massacre 1770 & Boston Tea Party 1773; expanded with textile mills, shipbuilding & trade 18th-19th cen.; noted for Faneuil Hall (1742-1805) & Paul Revere House (1680).","capital and largest city of Massachusetts, United States",http://vocab.getty.edu/tgn/7013445,http://www.wikidata.org/entity/Q100,
306,Stati Uniti d'America,Massachusetts,,Cambridge (MA),Newton,,,,,inhabited places,"Located N of Boston on Charles River; developed milling & forging industries 17th cen.; suburban growth expanded with Boston & Worcester railroad 1834; site of many schools, including, Boston College (1863) & Andover Newton Theological School (1808).",,http://vocab.getty.edu/tgn/2050214,,
298,Stati Uniti d'America,Illinois,,Chicago (IL),Chicago,Chicago,,,,inhabited places,"Located on post-glacial plain beside Lake Michigan, noted for extremes in climate. Site was visited by the French in the 17th century; it was a fur-trading post, then an Army post. It expanded greatly in the 19th century due to its strategic position; was a center of transportation and industry. Much of the city was destroyed by fire in 1871, and rebuilt. It is noted as the birthplace of an important architectural development, the steel-frame skyscraper.","city and county seat of Cook County, Illinois, United States of America",http://vocab.getty.edu/tgn/7013596,http://www.wikidata.org/entity/Q1297,
289,Italia,Abruzzi,L'Aquila,L'Aquila,L'Aquila,,,,,inhabited places,"Established by Sabini after destruction of Amiternum by Rome in 293 BC; city was founded by Holy Roman Emperor Frederick II; important medieval center, contested by Angevins & Aragonese; later passed to the Kingdom of Naples, then to Kingdom of Italy.","Italian city, capital of the Abruzzo region and of the Province of L'Aquila",http://vocab.getty.edu/tgn/7004067,http://www.wikidata.org/entity/Q3476,
272,Irlanda,,,Dublino,Dublin,Dublin,,,,inhabited places,"The city of Dublin, the present capital of the Republic of Ireland, has been inhabited since ancient times. It is situated in the eastern part of the country at the head of Dublin Bay on the Irish Sea. Norsemen settled the spot ca 831, and fought off the Irish until 1014. They later reclaimed the town and it survived and prospered as a Norse settlement though eventually the Norse rulers had Irish overlords. Henry II established English influence in 1170, which continued until 1922. Dublin remained a small medieval walled town, ruling only the English enclave along the coast, called the Pale. Dublin became Protestant around the time of the Reformation, and surrendered to Oliver Cromwell's army in 1649. Much damaged, depopulated, and physically crumbling, the town underwent a dramatic reversal of fortune in the 17th and 18th centuries, with the arrival of French Huguenot weavers fleeing persecution, soon followed by Flemish weavers. Dublin's thriving cloth trade lead to economic prosperity and the growth of the city beyond its old walls. Much fine Georgian architecture was built. The English elite thrived while the Roman Catholic majority was largely kept in extreme poverty and suffered persecution under the harsh Penal Laws. Reforms improved the status of Catholics in the 19th century but inequity continued and armed conflict centered on Dublin. The mid- to late 20th century saw quieter times and more development as well as a movement to conserve the older structures of the city. Dublin is known for Norman and Georgian castles and cathedrals situated around the bay and along the Irish Seacoast. There is a wealth of cultural life such as theatre, concerts, and opera. While traditional industries of brewing, distilling, food processing, and textile production have declined somewhat, new activities of engineering, electronics, and chemicals have arisen. The 2003 estimated population was 1,018,500.",capital and largest city of Ireland,http://vocab.getty.edu/tgn/7001306,http://www.wikidata.org/entity/Q1761,
268,Francia,,,Parigi,Paris,Paris,Parigi,,Paris,inhabited places,"Paris is the city and capital of France, located in the north-central part of the country. It was founded more than 2,000 years ago on an island in the Seine River. The City of Paris itself covers an area of 41 square miles (105 square kilometers). It occupies a central position in the productive agricultural region known as the Paris Basin. It is the nation's most important center of commerce and culture. It was captured and fortified by the Romans in 52 BCE and ruled by various other groups such as the Clovis, Northmen, English, and Germans.",capital city and largest city of France,http://vocab.getty.edu/tgn/7008038,http://www.wikidata.org/entity/Q90,
261,Italia,Emilia Romagna,Ravenna,Ravenna,Ravenna,,,,,inhabited places,"Probably settled by Italic peoples who moved S from Aquileia ca. 1400 BCE. It was formerly on the sea, but moved inland with the build up of sediment from the Po river, which emptied into the Adriatic and was swept southward by currents. Today it is located on a low-lying plain near the confluence of the Ronco and Montone rivers, 6 miles inland from the sea, with which it is connected by a canal.  It was an important Roman naval base after Augustus built port at nearby Classis; it was an important capital of the Western Empire from the 5th cen. CE. It declined in the 8th cen.; it was held by the popes from 1278; early Christian monuments named UNESCO World Heritage Site in 1996.",city in northern Italy,http://vocab.getty.edu/tgn/7004935,http://www.wikidata.org/entity/Q13364,
260,Italia,Marche,Pesaro e Urbino,Urbino,Urbino,Urbino,,,,inhabited places,"Settled by Umbrians, then was home to Etruscans, Celts & Gauls; taken by Rome 3rd cen. BCE; ruled by Church 9th-13th cen.; was a major political and cultural center from 15th cen.; went to Papal States in 1626; has had little modern industrial development; historic core named an UNESCO World Heritage Site in 1996.",town in the Marche region of Italy,http://vocab.getty.edu/tgn/7003994,http://www.wikidata.org/entity/Q2759,
258,Stati Uniti d'America,California,,Los Angeles (CA),Los Angeles,Los Angeles,,,,inhabited places,"State's largest city; expanded rapidly during late 19th and early 20th century due to cattle ranching, railroads and motion-picture industry; has suffered several earthquakes, droughts and air pollution; site of many museums, universities and wealthy communities.","largest city in California, United States",http://vocab.getty.edu/tgn/7023900,http://www.wikidata.org/entity/Q65,
253,Italia,Sicilia,Palermo,Palermo,Palermo,Palermo,,,,inhabited places,"Founded by Phoenicians; passed to Carthaginians; was Roman free town 354 BCE; under Ostrogoths, Byzantines (from 535 CE), Saracens (from 832 CE); flourished under Normans from 1072; went to Hohenstaufens (1194), Angevins, Aragonese (from 1280s), and Spain. Palermo was seized by Garibaldi in 1860 and made a part of the kingdom of Italy in 1861; it was captured by Allied forces in 1943.","Italian city, capital of Sicily",http://vocab.getty.edu/tgn/7003928,http://www.wikidata.org/entity/Q2656,
253,Italia,Umbria,Perugia,Spoleto,Spoleto,,,,,inhabited places,"Ancient city that was home to Umbrians and Etruscans; taken by Rome in 242 BCE; attacked by Hannibal (217 BCE), Marius and Sulla; flourished as key city on Roman Flaminian Way; given by Charlemagne to Pope in 8th cen.; destroyed by Frederick I in 1155, rebuilt; to Papacy 1354-1860.",,http://vocab.getty.edu/tgn/7005042,,
251,Italia,Lazio,Viterbo,Viterbo,Viterbo,,Viterbo,,,inhabited places,"Established by Etruscans; taken by Romans ca. 310 BCE; was given to popes by Countess Matilda of Tuscany in 11th cen.; was residence of several popes in Middle Ages; city was severely damaged in WW II, but has been rebuilt.",Italian commune (comune) in Lazio,http://vocab.getty.edu/tgn/7000875,http://www.wikidata.org/entity/Q13395,
243,Italia,Toscana,Arezzo,Arezzo,Arezzo,,Arezzo,,,inhabited places,"Was one of 12 ancient cities of Etruria and was allied with Rome from the 3rd century BCE. A thriving medieval center, Arezzo was taken by Florence in 1384. A series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo). Arezzo was later a part of grand duchy of Tuscany; it was ruled by the French after Napoleonic Wars, and then by the Hapsburgs. The city was damaged during WW II. ",,http://vocab.getty.edu/tgn/7006072,,
242,Italia,Veneto,Vicenza,Vicenza,Vicenza,Vicenza,,,,inhabited places,Founded by Ligurians in 1st cen. BCE; gained independence in 1164 and joined Lombard League; was destroyed by Emperor Frederick II in 1236; ruled by Della Scala family of Verona 14th cen.; part of Venetian Republic 15th cen.; named UNESCO World Heritage Site in 1994 due to its many villas constructed by Andrea Palladio.,municipality of Northern Italy,http://vocab.getty.edu/tgn/7003204,http://www.wikidata.org/entity/Q6537,
