count,country,region,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes
658,Italia,Abruzzi,Abruzzi,Abruzzo,Abruzzi,Abruzzen,Abruzzes,regions,"Region in central Italy, the most mountainous in the Italian Apennines; populated since Paleolithic times; Roman from 304 BCE; part of Lombard duchy of Spoleto 6th-11th centuries CE; part of kingdom of Naples 1266-1860.",region in Italy,http://vocab.getty.edu/tgn/7009084,http://www.wikidata.org/entity/Q1284,
636,Stati Uniti d'America,California,California,California,,Kalifornien,Californie,states,"Inhabited by many ethnic nationalities including Mojave, Yuma and Chumash when Spanish arrived in 16th cen.; Franciscans established missions all along coast; went to Mexico in 1820s; went to US in 1848; great influx of settlers from E arrived in gold rush.",state of the United States of America,http://vocab.getty.edu/tgn/7007157,http://www.wikidata.org/entity/Q99,
629,Stati Uniti d'America,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,states,"Occupied by roving hunters by ca. 8000 BC, later was home to agrarian cultures; Algonquian-speakers, at war with Iroquois to N, lived here when Europeans settled in 17th cen.; fought in Revolution; state had split loyalties in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007516,http://www.wikidata.org/entity/Q1391,
569,Italia,Sicilia,Sicilia,Sicily,Sicilia,Sizilien,Sicile,regions,"The region comprises the large island of the same name and several nearby smaller islands. Sicily became a major center of revolutionary movements in the 19th century: as a result of Giuseppe Garibaldi's revolt, it was liberated from the Bourbons in 1860 and in the following year it was incorporated into the united kingdom of Italy. Sicily gained regional autonomy in 1947.",Italian region,http://vocab.getty.edu/tgn/7003122,http://www.wikidata.org/entity/Q1460,
356,Francia,Provenza-Alpi-Costa Azzurra,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,Provenza-Alpi-Costa Azzurra,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,regions,,French administrative region,http://vocab.getty.edu/tgn/7002895,http://www.wikidata.org/entity/Q15104,
326,Stati Uniti d'America,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,states,"Originally inhabited by 16 tribes of Algonquian Indians; Dutchman, A Block, was first European in the area; English arrived in 1633, battled with Amerindians & Dutch; area provided supplies for Revolution; characterized today by rural & shore communities.",state of the United States of America,http://vocab.getty.edu/tgn/7007159,http://www.wikidata.org/entity/Q779,
308,Stati Uniti d'America,Illinois,Illinois,Illinois,,,Illinois,states,Inhabited by 8000 BCE; Mississippian people flourished ca. 1300 CE; had largest pre-Columbian community N of Mexico; various Algonquian tribes were here when French & English settled 17-18th centuries; went to USA in 1778 in Revolution; pro-Union in Civil War.,state of the United States of America,http://vocab.getty.edu/tgn/7007251,http://www.wikidata.org/entity/Q1204,
296,Stati Uniti d'America,Ohio,Ohio,Ohio,,,Ohio,states,"Inhabited by 5000 BCE; center for Hopewell culture before 400 CE; home to Miami, Shawnee, Wyandot, Delaware and others when French & British arrived 17-18th cen.; Amerindians supported British in Revolution; 300,000 soldiers fought for Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007706,http://www.wikidata.org/entity/Q1397,
274,Italia,Friuli Venezia Giulia,Friuli-Venezia Giulia,Friuli Venezia Giulia,Friuli-Venezia Giulia,Friaul-Julisch Venetien,Frioul-Vénétie julienne,regions,,autonomous region of Italy,http://vocab.getty.edu/tgn/7002993,http://www.wikidata.org/entity/Q1250,
264,Stati Uniti d'America,South Carolina,South Carolina,South Carolina,Carolina del Sud,,Caroline du Sud,states,"Inhabited by Cusabo, Creek, Congaree and others when Spanish, French & English arrived 16-17th cen.; Europeans penetrated inland in 18th cen.; strongly supported the American Revolution; was slave state, the first to join Confederacy in 1860 in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007712,http://www.wikidata.org/entity/Q1456,
245,Stati Uniti d'America,Florida,Florida,Florida,,Florida,Floride,states,"On low-lying peninsula inhabited by 8,000 BCE; farming began by 500 BCE, with hunters/fishers living in N and some immigration from Cuba and Bahamas; Seminoles lived here in 19th cen.; Spanish arrived in 16th century, but major European influx came in 19th century.",state of the United States of America,http://vocab.getty.edu/tgn/7007240,http://www.wikidata.org/entity/Q812,
243,Italia,Puglia,Puglia,Apulia,Puglia,Apulien,Pouilles,regions,"Was home to early Apulians and Greek colonists; came under control of republican Rome by 3rd century BCE; taken by Goths, Lombards and Byzantines; was duchy under Normans in 12th century; part of Kingdom of Two Sicilies and later of Holy Roman Empire.",region of Italy,http://vocab.getty.edu/tgn/7010380,http://www.wikidata.org/entity/Q1447,
216,Francia,Alvernia-Rodano-Alpi,Auvergne-Rhône-Alpes,,Alvernia-Rodano-Alpi,,Auvergne-Rhône-Alpes,regions,"Established in 2016, this region combined the former regions of Auvergne and Rhône-Alpes.",French administrative region,http://vocab.getty.edu/tgn/8711848,http://www.wikidata.org/entity/Q18338206,
213,Francia,Borgogna-Franca Contea,Bourgogne-Franche-Comté,,Borgogna-Franca Contea,,Bourgogne-Franche-Comté,first level subdivisions,"Established in 2016, this region combined the former regions of Bourgogne and Franche-Comté.",,http://vocab.getty.edu/tgn/8711849,,
210,Stati Uniti d'America,New Jersey,New Jersey,New Jersey,,,New Jersey,states,"Was summer home of Delaware (Lenni Lenape) Indians when Dutch, English, Scots-Irish and Swedes settled here in 17th cen.; Tory activity and several battles occurred in area during Revolution; sentiment was mainly pro-Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007565,http://www.wikidata.org/entity/Q1408,
204,Stati Uniti d'America,Michigan,Michigan,Michigan,,,Michigan,states,"Inhabited by Ojibwa, Ottawa, Potawatomi and others when French arrived in 18th cen.; taken by England in 1760s, by USA in Revolution and again in War of 1812; most Amerindians were forced west in 19th cen.; pro-Union in Civil War, noted for African regiment.",state of the United States of America,http://vocab.getty.edu/tgn/7007520,http://www.wikidata.org/entity/Q1166,
200,Stati Uniti d'America,Texas,Texas,Texas,,,Texas,states,"Possibly inhabited by 35,000 BCE; later had hunting and agrarian cultures; formed loose Caddo confederacies; Spanish and French settled here 16th-18th centuries; European-Americans came in 19th century; territorial conflict with Mexico 1830s; Confederate in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007826,http://www.wikidata.org/entity/Q1439,
176,Stati Uniti d'America,Indiana,Indiana,Indiana,,,Indiana,states,"Originally inhabited by Mound Builders; when Europeans arrived, Algonquian-speaking Miami Confederation, Potowatomi and Delaware, lived here; claimed by French in the 17th century, by British in 1763, and by the colonists in the Revolutionary War. It was strongly pro-Union in the Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007252,http://www.wikidata.org/entity/Q1415,
171,Regno Unito,Oxfordshire,Oxfordshire,,,,,counties,Area covers most of Thames Valley; contains many Paleolithic and Neolithic artifacts; part of Anglo-Saxon kingdom of Wessex and Mercia; ruled by Danes 10th-11th centuries; site of battles during English Civil War; area includes a portion of Berkshire since 1974.,"county in England, UK",http://vocab.getty.edu/tgn/7008168,http://www.wikidata.org/entity/Q23169,
136,Stati Uniti d'America,Minnesota,Minnesota,Minnesota,,,Minnesota,states,"Inhabited in Pleistocene epoch (18,000 BCE); major groups were Ojibwa and Sioux when French fur traders arrived in 17th cen.; made of sections from Louisiana Purchase & NW Territory; supported Union in Civil War; homesteaded by Scandinavians in 1880s.",state of the United States of America,http://vocab.getty.edu/tgn/7007521,http://www.wikidata.org/entity/Q1527,
127,Stati Uniti d'America,North Carolina,North Carolina,North Carolina,Carolina del Nord,,Caroline du Nord,states,"Inhabited since 14,000 BCE; Catawba, Cherokee and others were here when Europeans arrived 16th-17th cen., last group was forced out in 1830s; had internal strife due to divided loyalties during the American Revolution; joined the Confederacy in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007709,http://www.wikidata.org/entity/Q1454,
126,Stati Uniti d'America,Missouri,Missouri,Missouri,,,Missouri,states,"Inhabited by Osage and Missouri Indians when French arrived in 17th cen.; area went to Spain in 1762, back to France and then sold to USA in Louisiana Purchase of 1803; was a slave state, but did not secede from the Union in the Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007523,http://www.wikidata.org/entity/Q1581,
116,Stati Uniti d'America,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,states,"Area was occupied by Amerindians, who were later called ""Delaware""; settled by English, Dutch and Swedes in 17th century; strongly supported the Revolution, was first to ratify the Federal Constitution; was slave state before Civil War, though loyal to Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007239,http://www.wikidata.org/entity/Q1393,
111,Italia,Sardegna,Sardegna,Sardinia,Sardegna,Sardinien,Sardaigne,regions,Region comprises the large island of the same name and several nearby small islands.,autonomous region of Italy,http://vocab.getty.edu/tgn/7003121,http://www.wikidata.org/entity/Q1462,
109,Regno Unito,Gloucestershire,Gloucestershire,Gloucestershire,,,,counties,"Bisected by River Severn and comprises scenic woodlands valleys; occupied by prehistoric peoples, Romans and the Saxon Hwicce tribe; site of English-Welsh border disputes during Middle Ages; Cotswold area is famous for its wool.",,http://vocab.getty.edu/tgn/7008132,,
102,Stati Uniti d'America,Virginia,Virginia,Virginia,,,Virginie,states,"Inhabited by Tutelo Indians, Powhatan, Conoy & others; English settled here in early 17th cen., had white & black indentured servants, later employed slaves; fought in American Revolution; joined Confederacy & was site of bloody battles in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007919,http://www.wikidata.org/entity/Q1370,
96,Italia,Trentino-Alto Adige,Trentino-Alto Adige,Trentino-Alto Adige,Trentino-Alto Adige,Autonome Region Trentino-Südtirol,Trentin-Tyrol-du-Sud,regions,"Mountainous region in northern Italy; was part of Austria in 19th century, and almost half of the population still speaks German as a first language; suffered in WW II after opposing the Fascist plan to ""Italianize"" the area.",autonomous region in Northern Italy,http://vocab.getty.edu/tgn/7003124,http://www.wikidata.org/entity/Q1237,
95,Regno Unito,Cambridgeshire,Cambridgeshire,Cambridgeshire,,,,counties,"Comprises low ridges, plains and former islands; crossed by rivers Nene and the Great Ouse; noted for archaeological sites (prehistoric tracks), Saxon churches and the university buildings of Cambridge; produces beets, potatoes, and fruit for canning.",,http://vocab.getty.edu/tgn/7011980,,
82,Italia,Calabria,Calabria,Calabria,Calabria,Kalabrien,Calabre,regions,"Settled in prehistoric times; was powerful Greek colonial area; taken by Romans in 268 BCE, by Byzantine Empire in 9th century CE, and by Normans in the 11th century; was center of Italian republicanism and united to Kingdom of Italy 1860.",region of Italy,http://vocab.getty.edu/tgn/7007850,http://www.wikidata.org/entity/Q1458,
80,Francia,Alta Francia,Hauts-de-France,,,,Hauts-de-France,regions,,,http://vocab.getty.edu/tgn/8711851,,
75,Regno Unito,Merseyside,Merseyside,Merseyside,,,,counties,"Metropolitan county on the northwest coast of England; it was created in 1974 from southwestern Lancashire and northwestern Cheshire. It 1996 its administrative powers shifted to the five unitary authorities of Knowsley, Sefton, Wirral, St. Helens, and Liverpool. Occupies both banks of River Mersey; comprises marshlands and low cliffs; proximity to Ireland has influenced place names and culture.",metropolitan county in North West England,http://vocab.getty.edu/tgn/7029504,http://www.wikidata.org/entity/Q23100,
74,Francia,Grand Est,Grand Est,,Alsazia-Champagne-Ardenne-Lorena,,Grand Est,regions,"Formed in 2016, this region was created from the former regions of Alsace, Champagne-Ardenne, and Lorraine. ",administrative region of France,http://vocab.getty.edu/tgn/8711850,http://www.wikidata.org/entity/Q18677983,
63,Francia,Paesi della Loira,Pays de la Loire,Pays de la Loire,Paesi della Loira,Pays de la Loire,Pays de la Loire,regions,,administrative region of France,http://vocab.getty.edu/tgn/7002893,http://www.wikidata.org/entity/Q16994,
63,Stati Uniti d'America,Georgia,Georgia,Georgia,,,Géorgie,states,"Inhabited by Creek and Cherokee when English settled here in 18th century as buffer between Spanish Florida & English South Carolina; had divided loyalties in Revolution; slavery was prohibited in 18th century, but was slave state and pro-Confederacy in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007248,http://www.wikidata.org/entity/Q1428,
62,Stati Uniti d'America,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,states,"Settled since 25,000 BCE; home to Hohokam by 300 BCE and Anasazi by 100 CE; nomadic Apache and Navajo arrived ca. 1300; Spanish came 16-17th centuries; area went to Mexico in 1821, to USA in 1850s after Mexican War; sided with Confederacy in 1861 in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7006451,http://www.wikidata.org/entity/Q816,
58,Francia,Normandia,Normandie,Normandy,Normandia,Normandie,Normandie,regions,"Established in 2016, combining the former regions ""Haute-Normandie"" and ""Basse-Normandie.""",region of France,http://vocab.getty.edu/tgn/8711852,http://www.wikidata.org/entity/Q18677875,
57,Regno Unito,Lancashire,Lancashire,,,,,counties,"Consists of level plateaus, moorlands and river valleys; occupied in prehistoric and Roman times; suffered from Black Plague, War of Roses, and Scottish Border Wars; was large textile center from the late 18th century, but recent decline precipitated emigration.","ceremonial county in North-West England, United Kingdom",http://vocab.getty.edu/tgn/7008154,http://www.wikidata.org/entity/Q23077,
57,Regno Unito,Sussex,East Sussex,East Sussex,,,,counties,"Comprises chalk hills, ragged coastline, and marshes; area contained Neolithic camps, an Iron Age hill fort, and Norman castles; was source of grain and iron ore to Romans; iron industry thrived in Middle Ages; seaside resorts became important in the 18th century.",,http://vocab.getty.edu/tgn/7008129,,
57,Stati Uniti d'America,Rhode Island,Rhode Island,Rhode Island,Rhode Island,,Rhode Island,states,"First European settlements were established by English colonists banished from Massachusetts in 1630s; attracted diverse population, including Quakers and Jews; fought in Revolution; long resisted ratification of the Constitution; was strongly pro-Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007711,http://www.wikidata.org/entity/Q1387,
56,Regno Unito,Wiltshire,Wiltshire,Wiltshire,,,,counties,"County in southern England; watershed area separating basins of Bristol Channel, English Channel and River Thames; chalk uplands populated in prehistoric times and contains many stone monuments and burial mounds, including Neolithic Stonehenge and Avebury; primarily an agricultural area; administrative center is Trowbridge; Swindon became an independent unitary authority in 1997.","unitary authority (doesn't include Swindon) in Wiltshire, South West England, United Kingdom",http://vocab.getty.edu/tgn/7008180,http://www.wikidata.org/entity/Q21694746,
51,Regno Unito,Derbyshire,Derbyshire,Derbyshire,,,,counties,Consists of bleak moorlands in the north and lowlands of River Trent in the south; occupied since prehistoric times; formed part of kingdom of Mercia in 7th century; area remained pastoral until mining began in 18th century; important for textiles in 18th and 19th centuries.,,http://vocab.getty.edu/tgn/7008118,,
51,Stati Uniti d'America,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaï,states,One of two non-contiguous states; comprises most of the Hawaiian Islands; probably first inhabited by Polynesians who immigrated from Marquesas Islands ca. CE 400; immigrants from Tahiti arrived in 9th century; Europeans and Americans arrived in the 18th century,state of the United States of America,http://vocab.getty.edu/tgn/7007249,http://www.wikidata.org/entity/Q782,
46,Stati Uniti d'America,Colorado,Colorado,Colorado,,,Colorado,states,"Inhabited by Basket Makers (early Anasazi) around start of Christian Era; inhabited by cliff-dwellers and Plains Indians, mainly Arapaho and Cheyenne, when Spanish & French arrived 16th-18th century; parts went to USA in Louisiana Purchase and after Mexican War.",state of the United States of America,http://vocab.getty.edu/tgn/7007158,http://www.wikidata.org/entity/Q1261,
45,Stati Uniti d'America,Wisconsin,Wisconsin,Wisconsin,,,Wisconsin,states,"Inhabited by Ojibwa (Chippewa), Sauk, Fox, Kickapoo, Winnebago and others when French arrived from Canada in 17th cen.; went to British in 1763, to USA after Revolution; large influx of Europeans occurred in 1820s; supported Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007922,http://www.wikidata.org/entity/Q1537,
44,Francia,Nuova Aquitania,Nouvelle-Aquitaine,,Aquitania-Limosino-Poitou-Charentes,,Nouvelle-Aquitaine,regions,"Region of France created in 2016, by combining the former regions of Poitou-Charentes, Limousin, and Aquitaine. ",administrative region of France,http://vocab.getty.edu/tgn/8711853,http://www.wikidata.org/entity/Q18678082,
44,Stati Uniti d'America,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,states,"Area has been occupied for over 10,000 years; inhabited by Creek, Cherokee, Choctaw, Chickasaw & other tribes when Europeans arrived in 18th cen.; settlers took over area from Amerindians after War of 1812; was Confederate state in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7002659,http://www.wikidata.org/entity/Q173,
43,Stati Uniti d'America,Oklahoma,Oklahoma,Oklahoma,,,Oklahoma,states,"Had Clovis and Folsom cultures 13,000 BCE; other advanced cultures thrived 500-1300 CE; Wichita, Osage, Kiowa, Comanche, Apache and others were here when Spanish & French came 16-18th cen.; in Louisiana Purchase; tribes from N and E were forced here in 19th cen.",state of the United States of America,http://vocab.getty.edu/tgn/7007707,http://www.wikidata.org/entity/Q1649,
42,Stati Uniti d'America,Tennessee,Tennessee,Tennessee,,,Tennessee,states,"Inhabited by Mound Builders; later was home to Cherokee, Chickasaw, Shawnee and Creek tribes; visited by Spanish & French 16th-17th cen.; Virginians & North Carolinians settled here 18th cen.; joined Confederacy in 1861, site of bloody battles in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007825,http://www.wikidata.org/entity/Q1509,
42,Stati Uniti d'America,Washington,Washington,Washington,,,Washington,states,Inhabited by many groups of NW Coast Indians and North American Plateau Indians when European and American fur traders and Protestant missionaries arrived in 18th-19th cen.; N border was agreed upon by Britain (Canada) and the USA in 1846.,state of the United States of America,http://vocab.getty.edu/tgn/7007920,http://www.wikidata.org/entity/Q1223,
41,Australia,Victoria,Victoria,Victoria,,,,states,Charted by Captain Cook in 1770; settled by Tasmanian immigrants 1835; separated from New South Wales 1851; gold was discovered in the Ballarat region in 1851.,state of Australia,http://vocab.getty.edu/tgn/7006238,http://www.wikidata.org/entity/Q36687,
41,Francia,Centro-Valle della Loira,Centre-Val de Loire,Centre-Val de Loire,Centro-Valle della Loira,Centre-Val de Loire,Centre-Val de Loire,regions,,,http://vocab.getty.edu/tgn/7002877,,
41,Regno Unito,Lincolnshire,Lincolnshire,Lincolnshire,,,,counties,"Comprises uplands, rolling chalk hills, and a limestone escarpment; uplands used as defense areas during prehistoric and Roman times; prosperous farming area in Middle Ages; industry began with mining in the 19th century; contains many towns established by Danes.",,http://vocab.getty.edu/tgn/7008157,,
39,Italia,Basilicata,Basilicata,Basilicate,Basilicata,Basilikata,Basilicate,regions,"Located off the Gulf of Taranto; was under Lombard rule in early Middle Ages; ruled by dukes of Benevento & princes of Salerno; went to Byzantines, then Normans, Angevins & Spanish; was coextensive with Potenza province until Matera was created in 1927.",region of Italy,http://vocab.getty.edu/tgn/7004610,http://www.wikidata.org/entity/Q1452,
37,Stati Uniti d'America,Louisiana,Louisiana,Louisiana,,,Louisiane,states,"Occupied by 14,000 BC; Chitimacha, Biloxi, Atakapa and others lived here when Spanish and French settled in 16th-17th cen.; French brought in many slaves; was in Louisiana Purchase; was split between Union & Confederate forces early in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007256,http://www.wikidata.org/entity/Q1588,
35,Francia,Occitania,Occitanie,Occitanie,Linguadoca-Rossiglione-Midi-Pirenei,,Occitanie,regions,"Region created in 2016, and which combined the former regions of Midi-Pyrénées and Languedoc-Roussillon.",administrative region of France,http://vocab.getty.edu/tgn/8711854,http://www.wikidata.org/entity/Q18678265,
35,Regno Unito,Berkshire,West Berkshire,West Berkshire,,,,unitary authorities,"About 272 sq mi in size with a population of about 144,000; largely rural; Newbury is the largest town; renowned for horse racing.",,http://vocab.getty.edu/tgn/7026382,,
33,Regno Unito,Hertfordshire,Hertfordshire,Hertfordshire,,,,counties,"Located in southeastern England, north of Greater London; drained by rivers Lea and Colne. It contains Neolithic, Bronze Age and Roman remains, a Norman castle, and many large country estates; expanded greatly in the 20th century to accomodate population and industrial overflow from London. The county is divided into ten districts.",,http://vocab.getty.edu/tgn/7008145,,
33,Regno Unito,Kent,Kent,Kent,,,,counties,"Comprises chalk cliffs, grasslands and woodlands; inhabited since prehistoric times; settled by Romans ca. 43; invaded by Jutes and Saxons in the 5th century; in Middle Ages, pilgrims came to Canterbury and Rochester cathedrals; famous for its fruits and vegetables.","ceremonial county of England, United Kingdom",http://vocab.getty.edu/tgn/7008153,http://www.wikidata.org/entity/Q23298,
33,Regno Unito,Northamptonshire,Northamptonshire,Northamptonshire,,,,counties,"Comprises wooded hills and river valleys; has pre-Celtic and Roman remains; boundries almost identical to those laid down in 1096; scene of several battles during Civil War (1642-1645); industries include engineering, shoe-manufacturing, and food-processing.",,http://vocab.getty.edu/tgn/7012031,,
33,Stati Uniti d'America,Kansas,Kansas,Kansas,,,Kansas,states,"Had agricultural culture by 1200; inhabited by Kansa, Wichita, Pawnee & others when Spanish & French visited 17th-18th cen.; part of Louisiana Purchase 1803; tribes from N & E were forced here 19th cen.; had internal strife over slavery, fought for Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007254,http://www.wikidata.org/entity/Q1558,
31,Regno Unito,Scozia,Scotland,Scotland,Scozia,Schottland,Ecosse,countries,"Area was inhabited by 3rd millenium BCE; Rome invaded, but never subdued native Picts; invaded by Scots from Ireland in the 6th century CE; Picts and Scots united in 844; invaded by Norsemen beginning in the 8th century; first linked with English monarchy in 12th century; 16th century marked by religious turmoil; Crowns of Scotland and England united in 1603, parliaments in 1707; significant percentage still read or speak Scottish Gaelic language.","country in north-west Europe, part of the United Kingdom",http://vocab.getty.edu/tgn/7002444,http://www.wikidata.org/entity/Q22,
29,Regno Unito,West Midlands,West Midlands,West Midlands,,,,counties,"Metropolitan county in central England, created in 1974 out of southeastern Staffordshire, northwestern Warwickshire, and part of northeastern Worcestershire; in 1986 the county council was abolished and administrative power devolved to the new unitary authorities of Wolverhampton, Walsall, Dudley, Sandwell, Birmingham, Solihull, and Coventry; has an area of 347 sq mi. Sparsely populated until Saxon occupation ca. 5th cen.; called ""Black Country"" because of coalfields, & heavy industries in Birmingham, Dudley & Wolverhampton; important for its vast systems of canals & railways, Rover car & Cadbury chocolate factories.",metropolitan county in England,http://vocab.getty.edu/tgn/7029506,http://www.wikidata.org/entity/Q23124,
